item,label
140489,Regulatory T cells
140490,Memory B cells
140491,CD163n_Mac [M1]
140492,CD163n_Mac [M1]
140493,Memory B cells
140494,CD163n_Mac [M1]
140495,Memory B cells
140496,Memory B cells
140497,CD163n_Mac [M1]
140498,Regulatory T cells
140499,Regulatory T cells
140500,Regulatory T cells
140501,Memory B cells
140502,Regulatory T cells
140503,Regulatory T cells
140504,Unknown
140505,Regulatory T cells
140506,Regulatory T cells
140507,Memory B cells
140508,Memory B cells
140509,Regulatory T cells
140510,Regulatory T cells
140511,Regulatory T cells
140512,Memory B cells
140513,Naive B cells
140514,Regulatory T cells
140515,Regulatory T cells
140516,Regulatory T cells
140517,Naive B cells
140518,Regulatory T cells
140519,Memory B cells
140520,Memory B cells
140521,CD163n_Mac [M1]
140522,Regulatory T cells
140523,Naive CD4 T cells
140524,Regulatory T cells
140525,CD163n_Mac [M1]
140526,Memory B cells
140527,Regulatory T cells
140528,CD163n_Mac [M1]
140529,Memory B cells
140530,Regulatory T cells
140531,Regulatory T cells
140532,Regulatory T cells
140533,Memory B cells
140534,Memory B cells
140535,Memory B cells
140536,Regulatory T cells
140537,Regulatory T cells
140538,Memory B cells
140539,Memory B cells
140540,CI_Monocyte
140541,Regulatory T cells
140542,Regulatory T cells
140543,Regulatory T cells
140544,Regulatory T cells
140545,Memory B cells
140546,Regulatory T cells
140547,Regulatory T cells
140548,Memory B cells
140549,Regulatory T cells
140550,Regulatory T cells
140551,Regulatory T cells
140552,Regulatory T cells
140553,Regulatory T cells
140554,Naive CD4 T cells
140555,CD163n_Mac [M1]
140556,Memory CD8 T cells
140557,Regulatory T cells
140558,Regulatory T cells
140559,Regulatory T cells
140560,Memory B cells
140561,Memory B cells
140562,Regulatory T cells
140563,CD163n_Mac [M1]
140564,Regulatory T cells
140565,Regulatory T cells
140566,Memory B cells
140567,Regulatory T cells
140568,Memory B cells
140569,Memory B cells
140570,Regulatory T cells
140571,CD163n_Mac [M1]
140572,Regulatory T cells
140573,Regulatory T cells
140574,Regulatory T cells
140575,CD163n_Mac [M1]
140576,CD163n_Mac [M1]
140577,CD163n_Mac [M1]
140578,CI_Monocyte
140579,Memory B cells
140580,CI_Monocyte
140581,Naive CD4 T cells
140582,CD163n_Mac [M1]
140583,CD163n_Mac [M1]
140584,Regulatory T cells
140585,Regulatory T cells
140586,Naive CD4 T cells
140587,Int_Monocyte
140588,Regulatory T cells
140589,Regulatory T cells
140590,CD163n_Mac [M1]
140591,Regulatory T cells
140592,Regulatory T cells
140593,Regulatory T cells
140594,Naive CD4 T cells
140595,Naive CD4 T cells
140596,Regulatory T cells
140597,CD163n_Mac [M1]
140598,CI_Monocyte
140599,Memory B cells
140600,CI_Monocyte
140601,Regulatory T cells
140602,Memory B cells
140603,Regulatory T cells
140604,Regulatory T cells
140605,Regulatory T cells
140606,Memory B cells
140607,Regulatory T cells
140608,Memory B cells
140609,Int_Monocyte
140610,CD163n_Mac [M1]
140611,Regulatory T cells
140612,Regulatory T cells
140613,Memory B cells
140614,Regulatory T cells
140615,Regulatory T cells
140616,Memory B cells
140617,Regulatory T cells
140618,CI_Monocyte
140619,Regulatory T cells
140620,Memory B cells
140621,Regulatory T cells
140622,Regulatory T cells
140623,Naive CD4 T cells
140624,Naive CD4 T cells
140625,CD163n_Mac [M1]
140626,Regulatory T cells
140627,Regulatory T cells
140628,Regulatory T cells
140629,Regulatory T cells
140630,Regulatory T cells
140631,Regulatory T cells
140632,Regulatory T cells
