item,label
140489,4
140490,8
140491,4
140492,1
140493,8
140494,4
140495,8
140496,8
140497,1
140498,10
140499,4
140500,4
140501,8
140502,4
140503,4
140504,5
140505,4
140506,4
140507,8
140508,8
140509,4
140510,4
140511,4
140512,8
140513,7
140514,4
140515,4
140516,4
140517,7
140518,4
140519,8
140520,8
140521,1
140522,4
140523,5
140524,4
140525,1
140526,8
140527,4
140528,1
140529,8
140530,4
140531,4
140532,4
140533,8
140534,8
140535,8
140536,4
140537,4
140538,8
140539,8
140540,10
140541,4
140542,4
140543,4
140544,4
140545,8
140546,4
140547,4
140548,8
140549,4
140550,4
140551,4
140552,4
140553,4
140554,5
140555,1
140556,6
140557,4
140558,4
140559,4
140560,8
140561,8
140562,4
140563,1
140564,4
140565,4
140566,8
140567,4
140568,8
140569,8
140570,4
140571,1
140572,4
140573,4
140574,4
140575,1
140576,1
140577,1
140578,11
140579,8
140580,10
140581,5
140582,1
140583,1
140584,4
140585,4
140586,5
140587,11
140588,4
140589,4
140590,1
140591,4
140592,4
140593,4
140594,5
140595,5
140596,4
140597,4
140598,11
140599,8
140600,10
140601,4
140602,8
140603,4
140604,4
140605,4
140606,8
140607,4
140608,8
140609,11
140610,1
140611,4
140612,4
140613,8
140614,4
140615,4
140616,8
140617,4
140618,10
140619,4
140620,8
140621,4
140622,4
140623,5
140624,5
140625,4
140626,4
140627,4
140628,4
140629,4
140630,4
140631,4
140632,4
140633,4
140634,1
140635,4
140636,6
140637,5
140638,11
140639,1
140640,4
140641,8
140642,1
140643,8
140644,4
140645,4
140646,1
140647,8
140648,4
140649,4
140650,4
140651,4
140652,8
140653,4
140654,10
140655,1
140656,8
140657,4
140658,4
140659,4
140660,5
140661,5
140662,4
140663,1
140664,4
140665,4
140666,1
140667,4
140668,4
140669,2
140670,8
140671,4
140672,8
140673,4
140674,4
140675,10
140676,4
140677,8
140678,4
140679,4
140680,4
140681,4
140682,4
140683,5
140684,4
140685,4
140686,4
140687,4
140688,1
140689,8
140690,5
140691,8
140692,8
140693,4
140694,4
140695,1
140696,4
140697,4
140698,11
140699,4
140700,4
140701,4
140702,4
140703,1
140704,4
140705,11
140706,4
140707,4
140708,4
140709,4
140710,8
140711,8
140712,4
140713,5
140714,4
140715,8
140716,1
140717,4
140718,4
140719,4
140720,11
140721,1
140722,1
140723,4
140724,8
140725,8
140726,4
140727,4
140728,4
140729,4
140730,4
140731,4
140732,4
140733,4
140734,4
140735,4
140736,4
140737,4
140738,11
140739,1
140740,4
140741,8
140742,4
140743,4
140744,4
140745,8
140746,4
140747,8
140748,4
140749,4
140750,10
140751,5
140752,4
140753,8
140754,4
140755,8
140756,1
140757,8
140758,4
140759,4
140760,4
140761,8
140762,4
140763,4
140764,1
140765,4
140766,1
140767,11
140768,7
140769,4
140770,5
140771,4
140772,11
140773,1
140774,4
140775,8
140776,11
140777,4
140778,10
140779,4
140780,1
140781,4
140782,4
140783,4
140784,4
140785,4
140786,4
140787,4
140788,4
140789,4
140790,8
140791,1
140792,4
140793,4
140794,4
140795,4
140796,11
140797,4
140798,4
140799,10
140800,4
140801,8
140802,8
140803,4
140804,4
140805,4
140806,8
140807,4
140808,4
140809,4
140810,5
140811,11
140812,4
140813,11
140814,1
140815,1
140816,4
140817,8
140818,10
140819,8
140820,1
140821,4
140822,4
140823,8
140824,4
140825,4
140826,4
140827,8
140828,4
140829,4
140830,4
140831,1
140832,8
140833,8
140834,4
140835,4
140836,4
140837,4
140838,4
140839,4
140840,4
140841,4
140842,4
140843,4
140844,5
140845,4
140846,4
140847,4
140848,4
140849,8
140850,8
140851,8
140852,4
140853,4
140854,8
140855,5
140856,11
140857,4
140858,4
140859,5
140860,4
140861,1
140862,8
140863,8
140864,4
140865,8
140866,4
140867,4
140868,4
140869,8
140870,4
140871,4
140872,4
140873,4
140874,8
140875,4
140876,4
140877,4
140878,10
140879,4
140880,8
140881,4
140882,4
140883,4
140884,10
140885,4
140886,8
140887,8
140888,4
140889,4
140890,4
140891,1
140892,4
140893,4
140894,8
140895,4
140896,8
140897,4
140898,8
140899,4
140900,8
140901,4
140902,4
140903,4
140904,4
140905,4
140906,4
140907,8
140908,4
140909,5
140910,8
140911,4
140912,4
140913,5
140914,4
140915,4
140916,8
140917,5
140918,4
140919,8
140920,1
140921,8
140922,8
140923,4
140924,4
140925,1
140926,8
140927,4
140928,4
140929,4
140930,4
140931,4
140932,11
140933,4
140934,8
140935,4
140936,4
140937,8
140938,4
140939,4
140940,8
140941,4
140942,4
140943,4
140944,4
140945,4
140946,4
140947,4
140948,4
140949,8
140950,10
140951,1
140952,4
140953,4
140954,4
140955,4
140956,4
140957,4
140958,4
140959,4
140960,4
140961,4
140962,4
140963,4
140964,16
140965,4
140966,8
140967,8
140968,8
140969,4
140970,8
140971,8
140972,4
140973,8
140974,8
140975,8
140976,8
140977,4
140978,1
140979,4
140980,4
140981,6
140982,10
140983,4
140984,4
140985,8
140986,8
140987,8
140988,4
140989,4
140990,8
140991,4
140992,8
140993,11
140994,5
140995,1
140996,8
140997,8
140998,4
140999,4
141000,4
141001,4
141002,11
141003,4
141004,8
141005,4
141006,4
141007,8
141008,8
141009,4
141010,4
141011,4
141012,8
141013,5
141014,4
141015,4
141016,4
141017,4
141018,4
141019,4
141020,8
141021,8
141022,4
141023,4
141024,4
141025,4
141026,11
141027,4
141028,8
141029,4
141030,4
141031,8
141032,9
141033,8
141034,8
141035,4
141036,8
141037,4
141038,4
141039,10
141040,4
141041,8
141042,8
141043,8
141044,4
141045,8
141046,4
141047,4
141048,4
141049,4
141050,11
141051,4
141052,8
141053,4
141054,4
141055,4
141056,11
141057,4
141058,8
141059,4
141060,4
141061,4
141062,4
141063,4
141064,8
141065,4
141066,8
141067,4
141068,5
141069,4
141070,11
141071,8
141072,4
141073,4
141074,4
141075,8
141076,4
141077,4
141078,4
141079,7
141080,8
141081,8
141082,4
141083,4
141084,4
141085,9
141086,4
141087,4
141088,4
141089,4
141090,10
141091,4
141092,8
141093,4
141094,4
141095,8
141096,10
141097,4
141098,4
141099,8
141100,4
141101,4
141102,4
141103,4
141104,4
141105,4
141106,4
141107,4
141108,4
141109,4
141110,0
141111,4
141112,4
141113,4
141114,8
141115,4
141116,4
141117,4
141118,4
141119,4
141120,4
141121,4
141122,1
141123,4
141124,4
141125,4
141126,4
141127,4
141128,4
141129,4
141130,4
141131,4
141132,8
141133,11
141134,4
141135,16
141136,16
141137,16
141138,4
141139,4
141140,4
141141,4
141142,4
141143,8
141144,4
141145,4
141146,8
141147,4
141148,4
141149,4
141150,8
141151,8
141152,4
141153,8
141154,4
141155,4
141156,4
141157,6
141158,4
141159,8
141160,4
141161,4
141162,4
141163,8
141164,4
141165,4
141166,1
141167,4
141168,8
141169,8
141170,4
141171,4
141172,4
141173,4
141174,10
141175,8
141176,8
141177,4
141178,4
141179,4
141180,4
141181,4
141182,4
141183,4
141184,11
141185,4
141186,4
141187,4
141188,8
141189,8
141190,11
141191,4
141192,4
141193,10
141194,4
141195,4
141196,4
141197,4
141198,4
141199,4
141200,8
141201,4
141202,8
141203,4
141204,4
141205,11
141206,8
141207,4
141208,4
141209,8
141210,8
141211,8
141212,8
141213,4
141214,4
141215,8
141216,4
141217,8
141218,4
141219,8
141220,17
141221,4
141222,8
141223,10
141224,8
141225,8
141226,4
141227,1
141228,8
141229,4
141230,12
141231,8
141232,4
141233,4
141234,4
141235,4
141236,4
141237,4
141238,4
141239,4
141240,4
141241,4
141242,4
141243,4
141244,8
