cell_som_cluster,cell_meta_cluster,cell_meta_cluster_rename
1,21,CD4T
2,21,CD4T
3,21,CD4T
4,21,CD4T
5,2,CD8T
6,2,CD8T
7,2,CD8T
8,2,CD8T
9,29,stroma
10,29,stroma
11,21,CD4T
12,21,CD4T
13,21,CD4T
14,21,CD4T
15,2,CD8T
16,2,CD8T
17,2,CD8T
18,2,CD8T
19,29,stroma
20,29,stroma
21,21,CD4T
22,21,CD4T
23,30,immune_other
24,31,other
25,31,other
26,7,APC
27,7,APC
28,7,APC
29,29,stroma
30,29,stroma
31,21,CD4T
32,21,CD4T
33,30,immune_other
34,30,immune_other
35,31,other
36,7,APC
37,7,APC
38,7,APC
39,29,stroma
40,29,stroma
41,21,CD4T
42,21,CD4T
43,30,immune_other
44,30,immune_other
45,23,M1_macrophage
46,7,APC
47,7,APC
49,29,stroma
50,29,stroma
51,22,Bcell
52,22,Bcell
53,31,other
54,25,endothelium
55,23,M1_macrophage
56,14,M2_macrophage
57,31,other
58,24,tumor_ck17
59,24,tumor_ck17
60,29,stroma
61,22,Bcell
62,22,Bcell
63,22,Bcell
64,25,endothelium
65,25,endothelium
66,23,M1_macrophage
67,31,other
68,24,tumor_ck17
69,24,tumor_ck17
70,29,stroma
71,22,Bcell
72,22,Bcell
73,22,Bcell
74,23,M1_macrophage
75,25,endothelium
76,31,other
77,31,other
78,31,other
79,27,tumor_ecad
80,27,tumor_ecad
81,22,Bcell
82,22,Bcell
83,22,Bcell
84,22,Bcell
85,26,CD14_monocyte
86,26,CD14_monocyte
87,31,other
88,27,tumor_ecad
89,27,tumor_ecad
90,27,tumor_ecad
91,22,Bcell
92,22,Bcell
93,22,Bcell
94,26,CD14_monocyte
95,26,CD14_monocyte
96,28,Myofibroblast
97,27,tumor_ecad
98,27,tumor_ecad
99,27,tumor_ecad
100,27,tumor_ecad
