cell_som_cluster,pixel_meta_cluster_rename_CD14,pixel_meta_cluster_rename_CD163,pixel_meta_cluster_rename_CD20,pixel_meta_cluster_rename_CD3,pixel_meta_cluster_rename_CD31,pixel_meta_cluster_rename_CD3_CD4_CD45,pixel_meta_cluster_rename_CD3_CD8_CD45,pixel_meta_cluster_rename_CD68,pixel_meta_cluster_rename_CK17,pixel_meta_cluster_rename_ECAD,pixel_meta_cluster_rename_HLADR,pixel_meta_cluster_rename_SMA,pixel_meta_cluster_rename_VIM,pixel_meta_cluster_rename_noise,pixel_meta_cluster_rename_stroma,count,cell_meta_cluster,cell_meta_cluster_rename
1,0.0011434939689525,0.0024313518422009,0.0035885706715794,0.0066159374905933,0.0002816935104528,0.9781505148164829,0.0033769920491955,0.0006372349679407,0.0001782231608863,0.000176627554671,0.0020107649290134,0.0006396890815471,0.0009692404045667,0.0001391201615488,0.0021331855679137,657,21,CD4T
2,0.0151409752908842,0.0213217627691256,0.0029003852513967,0.0077947010099556,0.0033877089791098,0.8646471123596849,0.0223999623841258,0.0083189295281068,0.0017910247570385,0.0032965886009422,0.0154241246356776,0.0027277641020066,0.0084348254296539,0.0050495831858016,0.0233987096297057,280,21,CD4T
3,0.0035661742676862,0.0055421660054179,0.0047051999771411,0.0242664634463134,0.0045581733226206,0.7287513206482845,0.0605749131942734,0.0090061273181218,0.0005114379125912,0.0016305037906631,0.1399510325753433,0.0047117998577682,0.0092756306076665,0.0066692609853707,0.006659568360065,171,21,CD4T
4,0.0070614076111056,0.008891701162709,0.0314076603500938,0.0375219505352264,0.0019759676204836,0.6245847081614202,0.254850018927301,0.004952390485224,0.0026642010182357,0.0001213645791959,0.0184391201493532,0.0029211986777083,0.0071134908914476,0.0036846751712674,0.0061307564573837,166,21,CD4T
5,0.0092767965403792,0.0108800002735837,0.049361823451132,0.0612079760430448,0.0034517376137466,0.4120137594213373,0.4466598915608263,0.0035642267836908,0.0034816044276359,0.0025845889035993,0.0079307974926719,0.0008641927321038,0.0054099687146915,0.0015287890855154,0.0043992907265151,177,2,CD8T
6,0.0117712788559465,0.0096468517465235,0.0259291010584915,0.0206658355952541,0.0,0.2332015217759785,0.6718726808382073,0.0020588012995233,0.00280515829024,0.0013908777354839,0.007890860001864,0.0038538150902752,0.0032147011096053,0.0051753410666599,0.0074535235255315,81,2,CD8T
7,0.0114959072639542,0.0073194095420986,0.0056124750845037,0.0165818468259565,0.0013380378353458,0.0276934455487062,0.8967877174794197,0.0031987084653965,0.0002957920960023,0.0041755520114525,0.0074061030974927,0.0052001625624008,0.0062952741427703,0.0030423602410002,0.0110421109945386,382,2,CD8T
8,0.0366437119595313,0.032083199586714,0.0038635747658408,0.0152948052211324,0.0,0.0472471600694242,0.5751381139910808,0.0138204104484597,0.001492465964069,0.0157818445868259,0.0044929298733783,0.0026456099681251,0.0129098562340923,0.0276706466854707,0.2139041980837068,40,2,CD8T
9,0.040573571152301,0.0269879130584787,0.009742756737205,0.0457733999139337,0.0039320952892654,0.1615832291392248,0.0335307530697359,0.0198961094702902,0.0158229690050708,0.0399579282708386,0.0145360029489109,0.0162113157120689,0.0292500807660293,0.0471026121972175,0.4972880938352568,96,29,stroma
10,0.0137640489632445,0.0051074500618728,0.0009282523921499,0.0037138399193036,0.0044097697643741,0.0272753207067221,0.0032431153218533,0.0035332539555373,0.0032676367484205,0.0254561049312722,0.006334467634459,0.0289488517013763,0.0583753528031311,0.0179558467052945,0.7979448998932761,267,29,stroma
