channel,name,keep,ilastik,deepcell
ArAr80,80ArAr,0,1,
Y89,89Y,0,2,
Zr90,90Zr,0,3,
Ru99,99Ru,0,4,
Rh103,103Rh,0,5,
Pd106,106Pd,0,6,
Ag107,107Ag,0,7,
Cd112,112Cd,0,8,
Cd114,114Cd,0,9,
In115,115In,0,10,
Sn120,120Sn,0,11,
I127,127I,0,12,
Xe131,131Xe,0,13,
Ba138,138Ba,0,14,
La139,139La,0,15,
Ce140,140Ce,0,16,
Pr141,141Pr-CD38,1,17,2
Nd142,142Nd-EGFR,1,18,
Nd143,143Nd-p53,1,19,1
Nd144,144Nd-CD14,1,20,2
Nd145,145Nd-Tbet,1,21,
Nd146,146Nd-CD16,1,22,2
Sm147,147Sm-CD163,1,23,2
Nd148,148Nd-Pan-keratin,1,24,2
Sm149,149Sm-CD11b,1,25,2
Nd150,150Nd-PD-L1,1,26,
Eu151,151Eu-CD107a,1,27,2
Sm152,152Sm-CD45,1,28,2
Eu153,153Eu-CD44,1,29,2
Sm154,154Sm-CD366,1,30,2
Gd155,155Gd-FOXP3,1,31,1
Gd156,156Gd-CD4,1,32,2
Gd157,157Gd,0,33,
Gd158,158Gd-E-Cadherin,1,34,2
Tb159,159Tb-CD68,1,35,
Gd160,160Gd-HLA-DR-DQ-DP,1,36,2
Dy161,161Dy-CD20,1,37,2
Dy162,162Dy-CD8a,1,38,2
Dy163,163Dy-VEGF,1,39,
Dy164,164Dy-PD-1,1,40,
Ho165,165Ho-Beta-Catenin,1,41,2
Er166,166Er-B7-H4,1,42,2
Er167,167Er-Granzyme-B,1,43,
Er168,168Er-Ki-67,1,44,1
Tm169,169Tm-Collage-Type_I,1,45,
Er170,170Er-CD3,1,46,2
Yb171,171Yb-CD27,1,47,2
Yb172,172Yb-PD-L2,1,48,
Yb173,173Yb-CD45RO,1,49,2
Yb174,174Yb-Alpha-SMA,1,50,
Lu175,175Lu-Vimentin,1,51,2
Yb176,176Yb-CD31,1,52,
Hf177,177Hf,0,53,
BCKG190,190BCKG,0,54,
Ir191,191Ir-DNA1,1,55,1
Os192,192Os,0,56,
Ir193,193Ir-DNA2,1,57,1
Pt195,195Pt,0,58,
Au197,197Au,0,59,
Hg202,202Hg,0,60,
Pb207,207Pb,0,61,
Bi209,209Bi,0,62,
