Marker,Cancer,CD163p_Mac [M2],CD163n_Mac [M1],Naive CD4 T cells,Memory T cells,Regulatory T cells,Naive CD8 T cells,Memory CD8 T cells,Naive B cells,Memory B cells,NK and CD8 Tcell,CI_Monocyte,Int_Monocyte,nonCI_Monocyte,Endothelial,Fibroblasts,B7H4+ cancer cells,Proliferative cells?,p53+ cells?,Neutrophil&monocyte,Other cells
CD38,,,,1,1,1,1,1,1,1,1,,,,,,,,,,
EGFR,,,,,,,,,,,,,,,,,,,,,
p53,,,,,,,,,,,,,,,,,,,1,,
CD14,,,,,,,,,,,,1,1,-1,-1,,,,,-1,
Tbet,,,,,,,,,,,,,,,,,,,,,
CD16,,,,,,,,,,,,-1,1,1,-1,,,,,1,
CD163,,1,-1,,,,,,,,,,,,,,,,,,
Pan-keratin,1,-1,-1,,,,,,,,-1,-1,-1,-1,-1,-1,1,,,,-1
CD11b,,,,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,1,
PD-L1,,,,,,,,,,,,,,,,,,,,,
CD107a,,,,,,,,,,,1,,,,,,,,,,
CD45,,,,1,1,1,1,1,1,1,,,,,,-1,,,,1,-1
CD44,,,,-1,1,1,-1,1,,,,,,,,,,,,,
CD366,,,,,,,,,,,,,,,,,,,,,
FOXP3,,,,-1,-1,1,-1,-1,-1,-1,,,,,,,,,,,
CD4,,,,1,1,1,-1,-1,,,,,,,,,,,,,
E-Cadherin,1,,,,,,,,,,,,,,,,1,,,,
CD68,,1,1,,,,,,,,,-1,-1,-1,-1,,,,,,
HLA-DR-DQ-DP,,,,,,,,,,,,,,,,,,,,,
CD20,,,,-1,-1,-1,-1,-1,1,1,,-1,-1,-1,-1,,,,,,
CD8a,,,,-1,-1,-1,1,1,,,,,,,,,,,,,
VEGF,,,,,,,,,,,,,,,,,,,,,
PD-1,,,,,,,,,,,,,,,,,,,,,
Beta-Catenin,1,,,,,,,,,,,,,,,,1,,,,
B7-H4,,,,,,,,,,,,,,,,,1,,,,
Granzyme-B,,,,,,,,,,,1,,,,,,,,,,
Ki-67,,,,,,,,,,,,,,,,,,1,1,,
Collage-Type_I,,,,,,,,,,,,,,,,,,,,,
CD3,,,,1,1,1,1,1,-1,-1,,-1,-1,-1,-1,,,,,,
CD27,,,,1,1,1,-1,1,-1,1,,,,,,,,,,,
PD-L2,,,,,,,,,,,,,,,,,,,,,
CD45RO,,,,-1,1,1,-1,1,,,,,,,,,,,,,
Alpha-SMA,,,,,,,,,,,,,,,,1,,,,,-1
Vimentin,,,,,,,,,,,,,,,,1,,,,,
CD31,,,,,,,,,,,,,,,1,-1,,,,,-1
DNA1,,,,,,,,,,,,,,,,,,,,,1
DNA2,,,,,,,,,,,,,,,,,,,,,
