item,label
140489,-1
140490,-1
140491,-1
140492,-1
140493,8
140494,-1
140495,-1
140496,-1
140497,-1
140498,-1
140499,-1
140500,-1
140501,-1
140502,-1
140503,-1
140504,-1
140505,-1
140506,-1
140507,8
140508,-1
140509,-1
140510,-1
140511,-1
140512,-1
140513,7
140514,-1
140515,-1
140516,-1
140517,7
140518,-1
140519,-1
140520,-1
140521,-1
140522,-1
140523,-1
140524,-1
140525,-1
140526,-1
140527,-1
140528,1
140529,-1
140530,-1
140531,-1
140532,-1
140533,-1
140534,-1
140535,-1
140536,-1
140537,-1
140538,-1
140539,-1
140540,10
140541,-1
140542,-1
140543,-1
140544,-1
140545,-1
140546,-1
140547,-1
140548,-1
140549,-1
140550,-1
140551,-1
140552,-1
140553,-1
140554,-1
140555,-1
140556,-1
140557,-1
140558,-1
140559,-1
140560,-1
140561,-1
140562,-1
140563,-1
140564,-1
140565,-1
140566,-1
140567,-1
140568,-1
140569,-1
140570,-1
140571,-1
140572,-1
140573,-1
140574,-1
140575,-1
140576,-1
140577,-1
140578,10
140579,-1
140580,10
140581,-1
140582,-1
140583,-1
140584,-1
140585,-1
140586,-1
140587,11
140588,-1
140589,-1
140590,-1
140591,-1
140592,-1
140593,-1
140594,-1
140595,-1
140596,-1
140597,-1
140598,10
140599,-1
140600,10
140601,-1
140602,-1
140603,-1
140604,-1
140605,-1
140606,-1
140607,-1
140608,8
140609,11
140610,-1
140611,-1
140612,-1
140613,-1
140614,-1
140615,-1
140616,-1
140617,-1
140618,10
140619,-1
140620,-1
140621,-1
140622,-1
140623,-1
140624,-1
140625,-1
140626,-1
140627,-1
140628,-1
140629,-1
140630,-1
140631,-1
140632,-1
140633,-1
140634,-1
140635,-1
140636,-1
140637,-1
140638,-1
140639,-1
140640,-1
140641,-1
140642,-1
140643,-1
140644,-1
140645,-1
140646,-1
140647,-1
140648,-1
140649,-1
140650,-1
140651,-1
140652,-1
140653,-1
140654,-1
140655,-1
140656,-1
140657,-1
140658,-1
140659,-1
140660,-1
140661,-1
140662,-1
140663,-1
140664,-1
140665,-1
140666,-1
140667,-1
140668,-1
140669,2
140670,-1
140671,-1
140672,-1
140673,-1
140674,-1
140675,-1
140676,-1
140677,-1
140678,-1
140679,-1
140680,-1
140681,-1
140682,-1
140683,-1
140684,-1
140685,-1
140686,-1
140687,-1
140688,-1
140689,-1
140690,-1
140691,-1
140692,-1
140693,-1
140694,-1
140695,-1
140696,-1
140697,-1
140698,11
140699,-1
140700,-1
140701,-1
140702,-1
140703,-1
140704,-1
140705,16
140706,-1
140707,-1
140708,-1
140709,-1
140710,-1
140711,-1
140712,-1
140713,-1
140714,-1
140715,-1
140716,1
140717,-1
140718,-1
140719,-1
140720,10
140721,-1
140722,-1
140723,-1
140724,-1
140725,-1
140726,-1
140727,-1
140728,-1
140729,-1
140730,-1
140731,-1
140732,-1
140733,-1
140734,-1
140735,-1
140736,-1
140737,-1
140738,11
140739,-1
140740,-1
140741,-1
140742,-1
140743,-1
140744,-1
140745,-1
140746,-1
140747,-1
140748,-1
140749,-1
140750,10
140751,-1
140752,-1
140753,-1
140754,-1
140755,-1
140756,-1
140757,-1
140758,-1
140759,-1
140760,-1
140761,-1
140762,-1
140763,-1
140764,-1
140765,-1
140766,-1
140767,11
140768,7
140769,-1
140770,-1
140771,-1
140772,11
140773,-1
140774,-1
140775,-1
140776,11
140777,-1
140778,-1
140779,-1
140780,-1
140781,-1
140782,-1
140783,-1
140784,-1
140785,-1
140786,-1
140787,-1
140788,-1
140789,-1
140790,-1
140791,-1
140792,-1
140793,-1
140794,-1
140795,-1
140796,10
140797,-1
140798,-1
140799,10
140800,-1
140801,-1
140802,-1
140803,-1
140804,-1
140805,-1
140806,-1
140807,-1
140808,-1
140809,-1
140810,-1
140811,7
140812,-1
140813,-1
140814,-1
140815,-1
140816,-1
140817,-1
140818,-1
140819,-1
140820,-1
140821,-1
140822,-1
140823,-1
140824,-1
140825,-1
140826,-1
140827,-1
140828,-1
140829,-1
140830,-1
140831,1
140832,-1
140833,-1
140834,-1
140835,-1
140836,-1
140837,-1
140838,-1
140839,-1
140840,-1
140841,-1
140842,-1
140843,-1
140844,-1
140845,-1
140846,-1
140847,-1
140848,-1
140849,-1
140850,-1
140851,-1
140852,-1
140853,-1
140854,-1
140855,-1
140856,6
140857,-1
140858,-1
140859,2
140860,-1
140861,-1
140862,-1
140863,-1
140864,-1
140865,-1
140866,-1
140867,-1
140868,-1
140869,-1
140870,-1
140871,-1
140872,-1
140873,-1
140874,-1
140875,-1
140876,-1
140877,-1
140878,-1
140879,-1
140880,-1
140881,-1
140882,-1
140883,-1
140884,10
140885,-1
140886,-1
140887,-1
140888,-1
140889,-1
140890,-1
140891,-1
140892,-1
140893,-1
140894,-1
140895,-1
140896,-1
140897,-1
140898,-1
140899,-1
140900,-1
140901,-1
140902,-1
140903,-1
140904,-1
140905,-1
140906,-1
140907,-1
140908,-1
140909,-1
140910,-1
140911,-1
140912,-1
140913,-1
140914,-1
140915,-1
140916,-1
140917,5
140918,-1
140919,-1
140920,-1
140921,-1
140922,-1
