item,label
0,NK and CD8 Tcell
1,Naive CD8 T cells
2,Neutrophil&monocyte
3,Naive CD4 T cells
4,Neutrophil&monocyte
5,Naive CD4 T cells
6,Naive CD8 T cells
7,nonCI_Monocyte
8,Neutrophil&monocyte
9,Cancer
10,Naive CD4 T cells
11,Naive CD4 T cells
12,NK and CD8 Tcell
13,nonCI_Monocyte
14,NK and CD8 Tcell
15,Neutrophil&monocyte
16,Unknown
17,Cancer
18,Memory CD8 T cells
19,Memory CD8 T cells
20,Fibroblasts
21,Fibroblasts
22,Fibroblasts
23,CD163n_Mac [M1]
24,nonCI_Monocyte
25,nonCI_Monocyte
26,NK and CD8 Tcell
27,Naive CD4 T cells
28,nonCI_Monocyte
29,nonCI_Monocyte
30,nonCI_Monocyte
31,Naive CD4 T cells
32,Neutrophil&monocyte
33,Endothelial
34,Fibroblasts
35,Memory T cells
36,CI_Monocyte
37,nonCI_Monocyte
38,nonCI_Monocyte
39,nonCI_Monocyte
40,Fibroblasts
41,CI_Monocyte
42,NK and CD8 Tcell
43,Naive CD4 T cells
44,Fibroblasts
45,Memory T cells
46,NK and CD8 Tcell
47,Unknown
48,CI_Monocyte
49,Naive CD8 T cells
50,NK and CD8 Tcell
51,nonCI_Monocyte
52,Fibroblasts
53,Memory B cells
54,Fibroblasts
55,Fibroblasts
56,nonCI_Monocyte
57,Naive CD8 T cells
58,Unknown
59,Unknown
60,NK and CD8 Tcell
61,Fibroblasts
62,Naive CD8 T cells
63,NK and CD8 Tcell
64,nonCI_Monocyte
65,nonCI_Monocyte
66,Memory CD8 T cells
67,CI_Monocyte
68,Unknown
69,Fibroblasts
70,Unknown
71,Neutrophil&monocyte
72,NK and CD8 Tcell
73,Cancer
74,Fibroblasts
75,CI_Monocyte
76,Memory B cells
77,NK and CD8 Tcell
78,Cancer
79,CI_Monocyte
80,Endothelial
81,NK and CD8 Tcell
82,NK and CD8 Tcell
83,Fibroblasts
84,NK and CD8 Tcell
85,Fibroblasts
86,Naive CD8 T cells
87,Unknown
88,CD163n_Mac [M1]
89,Unknown
90,Endothelial
91,nonCI_Monocyte
92,Fibroblasts
93,nonCI_Monocyte
94,Fibroblasts
95,Fibroblasts
96,Fibroblasts
97,Endothelial
98,Unknown
99,nonCI_Monocyte
100,nonCI_Monocyte
101,Fibroblasts
102,CI_Monocyte
103,CI_Monocyte
104,Fibroblasts
105,Fibroblasts
106,Fibroblasts
107,Fibroblasts
108,NK and CD8 Tcell
109,NK and CD8 Tcell
110,Endothelial
111,Naive CD8 T cells
112,Unknown
113,NK and CD8 Tcell
114,nonCI_Monocyte
115,CD163n_Mac [M1]
116,Fibroblasts
117,Cancer
118,NK and CD8 Tcell
119,NK and CD8 Tcell
120,Neutrophil&monocyte
121,NK and CD8 Tcell
122,Unknown
123,nonCI_Monocyte
124,nonCI_Monocyte
125,Naive CD8 T cells
126,Neutrophil&monocyte
127,NK and CD8 Tcell
128,Fibroblasts
129,Naive B cells
130,Neutrophil&monocyte
131,NK and CD8 Tcell
132,NK and CD8 Tcell
133,Fibroblasts
134,nonCI_Monocyte
135,Cancer
136,NK and CD8 Tcell
137,Fibroblasts
138,Neutrophil&monocyte
139,NK and CD8 Tcell
140,NK and CD8 Tcell
141,NK and CD8 Tcell
142,Memory B cells
143,CI_Monocyte
144,CI_Monocyte
145,CI_Monocyte
146,nonCI_Monocyte
147,Fibroblasts
148,NK and CD8 Tcell
149,Memory T cells
150,Fibroblasts
151,Memory B cells
152,Memory T cells
153,Naive CD8 T cells
154,Memory B cells
155,CD163n_Mac [M1]
156,nonCI_Monocyte
157,nonCI_Monocyte
158,NK and CD8 Tcell
159,nonCI_Monocyte
160,Unknown
161,CI_Monocyte
162,CD163p_Mac [M2]
163,Unknown
164,NK and CD8 Tcell
165,nonCI_Monocyte
166,Fibroblasts
167,Memory B cells
168,Fibroblasts
169,Memory B cells
170,Fibroblasts
171,Unknown
172,Unknown
173,NK and CD8 Tcell
174,Cancer
175,NK and CD8 Tcell
176,Fibroblasts
177,nonCI_Monocyte
178,Unknown
179,Unknown
180,nonCI_Monocyte
181,Cancer
182,NK and CD8 Tcell
183,Fibroblasts
184,Memory B cells
185,nonCI_Monocyte
186,Unknown
187,NK and CD8 Tcell
188,Memory B cells
189,NK and CD8 Tcell
190,Endothelial
191,Memory B cells
192,Cancer
193,B7H4+ cancer cells
194,Memory B cells
195,Memory B cells
196,Naive CD4 T cells
197,NK and CD8 Tcell
198,nonCI_Monocyte
199,NK and CD8 Tcell
200,Memory B cells
201,Fibroblasts
202,CI_Monocyte
203,Neutrophil&monocyte
204,NK and CD8 Tcell
205,NK and CD8 Tcell
206,nonCI_Monocyte
207,Cancer
208,NK and CD8 Tcell
209,Neutrophil&monocyte
210,Naive CD8 T cells
211,CI_Monocyte
212,Memory B cells
213,nonCI_Monocyte
214,Cancer
215,nonCI_Monocyte
216,p53+ cells?
217,Fibroblasts
218,Fibroblasts
219,Cancer
220,Memory B cells
221,Fibroblasts
222,nonCI_Monocyte
223,Memory T cells
224,Naive CD4 T cells
225,nonCI_Monocyte
226,NK and CD8 Tcell
227,CD163p_Mac [M2]
228,Memory B cells
229,Endothelial
230,Fibroblasts
231,NK and CD8 Tcell
232,Naive CD8 T cells
233,NK and CD8 Tcell
234,nonCI_Monocyte
235,NK and CD8 Tcell
236,CI_Monocyte
237,NK and CD8 Tcell
238,Endothelial
239,CD163n_Mac [M1]
240,NK and CD8 Tcell
241,Neutrophil&monocyte
242,Fibroblasts
243,Memory B cells
244,NK and CD8 Tcell
245,NK and CD8 Tcell
246,Naive CD4 T cells
247,nonCI_Monocyte
248,nonCI_Monocyte
249,Unknown
250,nonCI_Monocyte
251,nonCI_Monocyte
252,nonCI_Monocyte
253,Cancer
254,CD163p_Mac [M2]
255,NK and CD8 Tcell
256,Fibroblasts
257,Unknown
258,NK and CD8 Tcell
259,NK and CD8 Tcell
260,Fibroblasts
261,CI_Monocyte
262,NK and CD8 Tcell
263,Unknown
264,Neutrophil&monocyte
265,Naive B cells
266,NK and CD8 Tcell
267,Memory B cells
268,Memory B cells
269,nonCI_Monocyte
270,Memory B cells
271,NK and CD8 Tcell
272,Unknown
273,Unknown
274,B7H4+ cancer cells
275,p53+ cells?
276,Endothelial
277,Unknown
278,nonCI_Monocyte
279,Naive CD4 T cells
280,CI_Monocyte
281,nonCI_Monocyte
282,NK and CD8 Tcell
283,NK and CD8 Tcell
284,Fibroblasts
285,NK and CD8 Tcell
286,Naive CD4 T cells
287,CI_Monocyte
288,nonCI_Monocyte
289,Naive CD4 T cells
290,Naive CD4 T cells
291,Naive B cells
292,Cancer
293,nonCI_Monocyte
294,B7H4+ cancer cells
295,Fibroblasts
296,NK and CD8 Tcell
297,NK and CD8 Tcell
298,NK and CD8 Tcell
299,Unknown
300,CI_Monocyte
301,Memory CD8 T cells
302,Unknown
303,NK and CD8 Tcell
304,Fibroblasts
305,nonCI_Monocyte
306,NK and CD8 Tcell
307,nonCI_Monocyte
308,NK and CD8 Tcell
309,Neutrophil&monocyte
310,Naive CD4 T cells
311,nonCI_Monocyte
312,Endothelial
313,Cancer
314,Endothelial
315,CI_Monocyte
316,Naive CD8 T cells
317,NK and CD8 Tcell
318,NK and CD8 Tcell
319,NK and CD8 Tcell
320,CI_Monocyte
321,NK and CD8 Tcell
322,Naive CD4 T cells
323,Endothelial
324,NK and CD8 Tcell
325,Cancer
326,Unknown
327,Memory CD8 T cells
328,NK and CD8 Tcell
329,CI_Monocyte
330,Naive B cells
331,nonCI_Monocyte
332,Unknown
333,CI_Monocyte
334,Memory CD8 T cells
335,NK and CD8 Tcell
336,NK and CD8 Tcell
337,NK and CD8 Tcell
338,Cancer
339,NK and CD8 Tcell
340,Unknown
341,Neutrophil&monocyte
342,NK and CD8 Tcell
343,NK and CD8 Tcell
344,Neutrophil&monocyte
345,CD163p_Mac [M2]
346,NK and CD8 Tcell
347,Cancer
348,Fibroblasts
349,CI_Monocyte
350,Unknown
351,nonCI_Monocyte
352,Unknown
353,Neutrophil&monocyte
354,NK and CD8 Tcell
355,Memory CD8 T cells
356,Fibroblasts
357,nonCI_Monocyte
358,nonCI_Monocyte
359,Neutrophil&monocyte
360,NK and CD8 Tcell
361,CI_Monocyte
362,Fibroblasts
363,NK and CD8 Tcell
364,Fibroblasts
365,nonCI_Monocyte
366,nonCI_Monocyte
367,NK and CD8 Tcell
368,NK and CD8 Tcell
369,Fibroblasts
370,Fibroblasts
371,nonCI_Monocyte
372,Unknown
373,NK and CD8 Tcell
374,Cancer
375,CD163n_Mac [M1]
376,CI_Monocyte
377,CD163p_Mac [M2]
378,Neutrophil&monocyte
379,CI_Monocyte
380,NK and CD8 Tcell
381,Naive CD8 T cells
382,NK and CD8 Tcell
383,Cancer
384,CI_Monocyte
385,nonCI_Monocyte
386,Naive CD8 T cells
387,NK and CD8 Tcell
388,Naive B cells
389,Fibroblasts
390,Fibroblasts
391,CI_Monocyte
392,Fibroblasts
393,CD163n_Mac [M1]
394,CI_Monocyte
395,Unknown
396,CI_Monocyte
397,Fibroblasts
398,Naive CD8 T cells
399,Neutrophil&monocyte
400,NK and CD8 Tcell
401,NK and CD8 Tcell
402,NK and CD8 Tcell
403,CI_Monocyte
404,nonCI_Monocyte
405,Memory T cells
406,Memory B cells
407,NK and CD8 Tcell
408,Cancer
409,nonCI_Monocyte
410,nonCI_Monocyte
411,NK and CD8 Tcell
412,Memory B cells
413,nonCI_Monocyte
414,NK and CD8 Tcell
415,Memory B cells
416,CI_Monocyte
417,nonCI_Monocyte
418,Naive CD4 T cells
419,Cancer
420,nonCI_Monocyte
421,Unknown
422,nonCI_Monocyte
423,nonCI_Monocyte
424,Cancer
425,Naive CD4 T cells
426,NK and CD8 Tcell
427,nonCI_Monocyte
428,nonCI_Monocyte
429,Naive B cells
430,Unknown
431,Int_Monocyte
432,CI_Monocyte
433,NK and CD8 Tcell
434,NK and CD8 Tcell
435,Unknown
436,NK and CD8 Tcell
437,Cancer
438,Cancer
439,nonCI_Monocyte
440,NK and CD8 Tcell
441,NK and CD8 Tcell
442,CI_Monocyte
443,Unknown
444,Neutrophil&monocyte
445,NK and CD8 Tcell
446,Neutrophil&monocyte
447,NK and CD8 Tcell
448,CD163n_Mac [M1]
449,Neutrophil&monocyte
450,CI_Monocyte
451,NK and CD8 Tcell
452,NK and CD8 Tcell
453,Cancer
454,Fibroblasts
455,nonCI_Monocyte
456,Memory B cells
457,Unknown
458,NK and CD8 Tcell
459,nonCI_Monocyte
460,CI_Monocyte
461,nonCI_Monocyte
462,NK and CD8 Tcell
463,Unknown
464,NK and CD8 Tcell
465,Neutrophil&monocyte
466,nonCI_Monocyte
467,NK and CD8 Tcell
468,Memory CD8 T cells
469,Unknown
470,NK and CD8 Tcell
471,Naive CD8 T cells
472,Cancer
473,Unknown
474,NK and CD8 Tcell
475,NK and CD8 Tcell
476,NK and CD8 Tcell
477,nonCI_Monocyte
478,Memory B cells
479,Unknown
480,Neutrophil&monocyte
481,nonCI_Monocyte
482,nonCI_Monocyte
483,NK and CD8 Tcell
484,nonCI_Monocyte
485,Cancer
486,Endothelial
487,Fibroblasts
488,Int_Monocyte
489,Memory B cells
490,Neutrophil&monocyte
491,NK and CD8 Tcell
492,NK and CD8 Tcell
493,NK and CD8 Tcell
494,Fibroblasts
495,NK and CD8 Tcell
496,NK and CD8 Tcell
497,Naive B cells
498,Fibroblasts
499,Naive CD8 T cells
500,CI_Monocyte
501,Neutrophil&monocyte
502,Memory T cells
503,Memory T cells
504,NK and CD8 Tcell
505,Naive CD4 T cells
506,p53+ cells?
507,NK and CD8 Tcell
508,Cancer
509,Fibroblasts
510,Unknown
511,NK and CD8 Tcell
512,CI_Monocyte
513,NK and CD8 Tcell
514,Regulatory T cells
515,NK and CD8 Tcell
516,Fibroblasts
517,Fibroblasts
518,nonCI_Monocyte
519,Unknown
520,nonCI_Monocyte
521,NK and CD8 Tcell
522,NK and CD8 Tcell
523,Unknown
524,CD163n_Mac [M1]
525,Endothelial
526,NK and CD8 Tcell
527,Cancer
528,nonCI_Monocyte
529,Unknown
530,Naive B cells
531,Unknown
532,Unknown
533,NK and CD8 Tcell
534,Naive B cells
535,Fibroblasts
536,NK and CD8 Tcell
537,NK and CD8 Tcell
538,Naive CD8 T cells
539,Naive B cells
540,CI_Monocyte
541,nonCI_Monocyte
542,NK and CD8 Tcell
543,Memory B cells
544,Neutrophil&monocyte
545,nonCI_Monocyte
546,CI_Monocyte
547,Unknown
548,NK and CD8 Tcell
549,Cancer
550,NK and CD8 Tcell
551,NK and CD8 Tcell
552,CI_Monocyte
553,Cancer
554,NK and CD8 Tcell
555,Cancer
556,nonCI_Monocyte
557,NK and CD8 Tcell
558,Unknown
559,Unknown
560,Naive B cells
561,Memory B cells
562,Memory B cells
563,Naive CD8 T cells
564,Cancer
565,Fibroblasts
566,Fibroblasts
567,Naive CD8 T cells
568,Naive CD8 T cells
569,NK and CD8 Tcell
570,Unknown
571,CI_Monocyte
572,NK and CD8 Tcell
573,NK and CD8 Tcell
574,CI_Monocyte
575,CI_Monocyte
576,Cancer
577,nonCI_Monocyte
578,NK and CD8 Tcell
579,Memory CD8 T cells
580,NK and CD8 Tcell
581,nonCI_Monocyte
582,NK and CD8 Tcell
583,NK and CD8 Tcell
584,p53+ cells?
585,Unknown
586,CD163p_Mac [M2]
587,Memory B cells
588,Naive CD8 T cells
589,Naive CD8 T cells
590,NK and CD8 Tcell
591,nonCI_Monocyte
592,NK and CD8 Tcell
593,Naive B cells
594,CD163p_Mac [M2]
595,Fibroblasts
596,Unknown
597,NK and CD8 Tcell
598,Fibroblasts
599,Memory T cells
600,NK and CD8 Tcell
601,Cancer
602,Cancer
603,Cancer
604,Neutrophil&monocyte
605,NK and CD8 Tcell
606,Fibroblasts
607,nonCI_Monocyte
608,NK and CD8 Tcell
609,NK and CD8 Tcell
610,NK and CD8 Tcell
611,Naive CD8 T cells
612,NK and CD8 Tcell
613,NK and CD8 Tcell
614,NK and CD8 Tcell
615,CI_Monocyte
616,Fibroblasts
617,Neutrophil&monocyte
618,NK and CD8 Tcell
619,Cancer
620,CI_Monocyte
621,NK and CD8 Tcell
622,NK and CD8 Tcell
623,Memory B cells
624,NK and CD8 Tcell
625,Cancer
626,NK and CD8 Tcell
627,Cancer
628,Fibroblasts
629,nonCI_Monocyte
630,Cancer
631,CI_Monocyte
632,Unknown
633,NK and CD8 Tcell
634,NK and CD8 Tcell
635,NK and CD8 Tcell
636,NK and CD8 Tcell
637,B7H4+ cancer cells
638,Unknown
639,Naive CD8 T cells
640,Cancer
641,nonCI_Monocyte
642,Fibroblasts
643,CI_Monocyte
644,Memory T cells
645,B7H4+ cancer cells
646,Unknown
647,Fibroblasts
648,Memory B cells
649,Cancer
650,Neutrophil&monocyte
651,Cancer
652,CD163p_Mac [M2]
653,Memory B cells
654,Naive B cells
655,Memory T cells
656,Fibroblasts
657,NK and CD8 Tcell
658,NK and CD8 Tcell
659,NK and CD8 Tcell
660,Unknown
661,Cancer
662,NK and CD8 Tcell
663,NK and CD8 Tcell
664,Naive CD8 T cells
665,Naive B cells
666,Naive B cells
667,CI_Monocyte
668,Unknown
669,NK and CD8 Tcell
670,Cancer
671,Neutrophil&monocyte
672,NK and CD8 Tcell
673,NK and CD8 Tcell
674,NK and CD8 Tcell
675,Memory CD8 T cells
676,NK and CD8 Tcell
677,CI_Monocyte
678,Naive CD4 T cells
679,NK and CD8 Tcell
680,Neutrophil&monocyte
681,NK and CD8 Tcell
682,Fibroblasts
683,Endothelial
684,CD163p_Mac [M2]
685,Unknown
686,NK and CD8 Tcell
687,Endothelial
688,NK and CD8 Tcell
689,NK and CD8 Tcell
690,nonCI_Monocyte
691,NK and CD8 Tcell
692,Naive B cells
693,NK and CD8 Tcell
694,Memory CD8 T cells
695,NK and CD8 Tcell
696,Memory CD8 T cells
697,B7H4+ cancer cells
698,CI_Monocyte
699,nonCI_Monocyte
700,NK and CD8 Tcell
701,NK and CD8 Tcell
702,NK and CD8 Tcell
