cell_meta_cluster,CD3,CD4,CD8a,CD11b,CD14,CD16,CD20,CD44,CD45,CD45RO,CD68,CD107a,CD163,CD366,Pan-keratin,FOXP3,E-Cadherin,HLA-DR-DQ-DP,Beta-Catenin,B7-H4,Granzyme-B,Alpha-SMA,Vimentin,CD31,cell_meta_cluster_rename
1,0.263626223,0.36059329,0.266396839,0.344143623,0.294429636,0.241717043,0.155644365,0.225775429,0.311100037,0.242343391,0.26232834,0.217675756,0.209409373,0.303555126,0.225494693,0.260456022,0.304826882,0.318240707,0.304074394,0.341923366,0.260112192,0.094308928,0.183489403,0.214130711,Antigen presenting cell
2,0.280867228,0.353959035,0.22623763,0.366784329,0.345195996,0.282048521,0.166193957,0.234640612,0.286301182,0.189281734,0.249309742,0.225296017,0.263295759,0.365409477,0.182918256,0.275722864,0.171042115,0.160979716,0.302689987,0.322237895,0.278122174,0.116108733,0.220899204,0.216318239,B cell
3,0.249768536,0.333025215,0.227571672,0.363549963,0.301748906,0.23163744,0.142646426,0.23268305,0.285937785,0.210018284,0.275130714,0.2247,0.201498377,0.352832562,0.183087428,0.251593297,0.19081673,0.180384704,0.287549342,0.330482994,0.374631854,0.148216755,0.323891803,0.243704819,B cell + HLA
4,0.2502637,0.321188931,0.24532088,0.351830849,0.286650255,0.207142761,0.151475503,0.205210535,0.27112652,0.208795936,0.23095239,0.224520351,0.188635476,0.353226494,0.172984093,0.251367168,0.199109483,0.159369958,0.306294574,0.316535612,0.353098645,0.275515352,0.29442313,0.290833138,B7H4 Cancer cell
5,0.249768536,0.333025215,0.227571672,0.363549963,0.301748906,0.23163744,0.142646426,0.23268305,0.285937785,0.210018284,0.275130714,0.2247,0.201498377,0.352832562,0.183087428,0.251593297,0.19081673,0.180384704,0.287549342,0.330482994,0.374631854,0.148216755,0.323891803,0.243704819,B7H4 Cancer cell Prol
6,0.279037789,0.337587616,0.296035245,0.40078126,0.262711282,0.15915269,0.149209593,0.199231888,0.216987048,0.186401637,0.166556392,0.215464535,0.122980398,0.337165073,0.311504481,0.34316533,0.468617428,0.104582137,0.434691276,0.450091115,0.302717579,0.072468952,0.161169403,0.194512028,Cancer cell
7,0.31680504,0.380066773,0.254113337,0.396622009,0.329744902,0.279278451,0.15854715,0.195032116,0.25695199,0.252151088,0.20997556,0.225015891,0.239959599,0.27832972,0.266716034,0.287291178,0.360950295,0.140479154,0.330045059,0.355418347,0.21892763,0.119371695,0.138326254,0.170162973,Cancer cell Prol
8,0.326714621,0.345995204,0.364977508,0.346621431,0.280577183,0.210304451,0.173998503,0.216374119,0.327531465,0.274871554,0.224526142,0.198823604,0.192136651,0.306219643,0.215997532,0.266232361,0.296969918,0.161649352,0.305350837,0.336632679,0.285881194,0.113863707,0.175950921,0.216933817,CD8 T cell
9,0.297950776,0.331642915,0.314005555,0.353173735,0.255192231,0.171319264,0.176760514,0.186139339,0.255762114,0.379503462,0.187096649,0.187330978,0.145061657,0.293048857,0.268508002,0.325855734,0.364893521,0.133096284,0.342698192,0.365255528,0.303025767,0.098401042,0.156618336,0.235719601,Cl Monocyte
10,0.299005738,0.362327264,0.293899189,0.366922639,0.284299586,0.208222952,0.159416308,0.23194135,0.345830018,0.245034834,0.247285032,0.198189935,0.177644803,0.330035921,0.157512009,0.272450989,0.183037984,0.18349985,0.270527665,0.333023801,0.339073338,0.11186032,0.25536157,0.291053694,Endothelial cell
11,0.2502637,0.321188931,0.24532088,0.351830849,0.286650255,0.207142761,0.151475503,0.205210535,0.27112652,0.208795936,0.23095239,0.224520351,0.188635476,0.353226494,0.172984093,0.251367168,0.199109483,0.159369958,0.306294574,0.316535612,0.353098645,0.275515352,0.29442313,0.290833138,Fibroblast
12,0.23897216,0.378228467,0.235828553,0.326685107,0.333667615,0.316975774,0.152230506,0.233376538,0.344049769,0.238607177,0.389970114,0.241601654,0.310367363,0.302407179,0.138950568,0.216357399,0.152004602,0.323730423,0.221705648,0.288317991,0.260995881,0.10996954,0.228078907,0.2260301,Int Monocyte
13,0.23897216,0.378228467,0.235828553,0.326685107,0.333667615,0.316975774,0.152230506,0.233376538,0.344049769,0.238607177,0.389970114,0.241601654,0.310367363,0.302407179,0.138950568,0.216357399,0.152004602,0.323730423,0.221705648,0.288317991,0.260995881,0.10996954,0.228078907,0.2260301,Macrophage
