cell_meta_cluster,pixel_meta_cluster_rename_B7H4,pixel_meta_cluster_rename_BetaCat,pixel_meta_cluster_rename_CD107a,pixel_meta_cluster_rename_CD11b,pixel_meta_cluster_rename_CD14 + CD16 + CD163,pixel_meta_cluster_rename_CD16,pixel_meta_cluster_rename_CD163,pixel_meta_cluster_rename_CD20,pixel_meta_cluster_rename_CD3,pixel_meta_cluster_rename_CD31,pixel_meta_cluster_rename_CD31 + GzmB*,pixel_meta_cluster_rename_CD366 + CD44,pixel_meta_cluster_rename_CD366 + GzmB,pixel_meta_cluster_rename_CD4 + CD3,pixel_meta_cluster_rename_CD4 + CD366,pixel_meta_cluster_rename_CD4 + CD45RO,pixel_meta_cluster_rename_CD44,pixel_meta_cluster_rename_CD45,pixel_meta_cluster_rename_CD45RO,pixel_meta_cluster_rename_CD68,pixel_meta_cluster_rename_CD68 + CD11b + CD45 + CD45RO + GzmB,pixel_meta_cluster_rename_CD8 + Ecad,pixel_meta_cluster_rename_CD8a,pixel_meta_cluster_rename_CD8a + ECad*,pixel_meta_cluster_rename_ECad,pixel_meta_cluster_rename_ECad + B7H4 + BetaCat + PanCK,pixel_meta_cluster_rename_ECad + aSMA,pixel_meta_cluster_rename_ECad*,pixel_meta_cluster_rename_FoxP3,pixel_meta_cluster_rename_FoxP3 + ECad + PanCK,pixel_meta_cluster_rename_HLA,pixel_meta_cluster_rename_HLA + CD4,pixel_meta_cluster_rename_HLA + CD68,pixel_meta_cluster_rename_HLA + Ecad,pixel_meta_cluster_rename_PanCK + CD20,pixel_meta_cluster_rename_Vim + GzmB,pixel_meta_cluster_rename_Vim + GzmB + CD31 + aSMA,pixel_meta_cluster_rename_Vim + GzmB + aSMA,pixel_meta_cluster_rename_aSMA,pixel_meta_cluster_rename_aSMA + Vim,count,cell_meta_cluster_rename
1,0.02359309218919022,0.005584693118687211,0.0020085625711592343,0.007462514018953743,0.05614667719861976,0.10428814689486464,0.02062290075310749,0.01060601941114609,0.03206936199932434,0.004483609975741764,0.035535464448484724,0.0678620534570109,0.06806120328722556,0.05234807005125004,0.017113089606092688,0.015891705583979863,0.02344478583904339,0.007593225410648102,0.0045213954329771985,0.03293288265597904,0.00443529519140689,0.011458174011272748,0.01521930230242332,0.022341424139368536,0.008458779054511567,0.009853195843105175,0.002394276774423219,0.012692725765287894,0.06305892539958419,0.00458219023086678,0.03868013330876025,0.061766134985949316,0.032785343718782674,0.006979766620612016,0.0035979592179742974,0.08212706092039547,0.009561799180049221,0.012156771120410671,0.00937373456923694,0.028626340227203773,191312,B cell
2,0.0006097776476832729,0.0007066707597635478,1.8632112710876935e-05,0.0016090390511500235,0.002939966587144382,0.006508370420526261,0.001790471293481517,0.001095136310065709,0.0012573831231868734,0.0062983717827152196,0.04205607988493585,0.0028841549398835485,0.004735331376300425,0.005113502822306164,0.0016856668474549445,0.015215970362830336,0.001530446429241481,0.0002379654379632344,0.01403508806345977,0.056262870489071165,0.002478824325205585,0.018404323560469754,0.01291740659422788,0.06193899669292851,0.00694282411845659,0.009616885980939028,0.09721674940021238,0.0038153744047183975,0.006352376454842831,0.0038098963706921615,0.03975098934896677,0.03977463226489149,0.007873503328418009,0.010899535766601746,0.0001685072450111639,0.07527589434047129,0.08406650013294494,0.10602780368162905,0.0390657820602043,0.21841265860522782,614061,Fibroblast
3,0.004251858473188955,0.00048720057310423234,5.9179354776674696e-05,0.0041266456978947845,0.0003285383502202301,0.002587097560441084,0.00164801631072922,0.0009121092573532828,0.000875169283911107,0.00272528351304597,0.015109842908003383,0.001117699304216199,0.0029560689901456604,0.0016419522895510222,0.0009431256506560029,0.008520742859741982,0.004408917595476989,0.00024100568355400425,0.017974840186398194,0.003698633187611196,0.0025448890868669414,0.13308618234180708,0.005673142783704732,0.056711066976155654,0.2627170373233013,0.3331957194562467,0.010661992311583303,0.011208687719165266,0.01478226190461666,0.0380651933934588,0.02654109803113926,0.005112066414522445,0.0007609057050403176,0.019713798886616507,0.0008560976795093125,0.016653103133644362,0.001479352039422604,0.0016098663379098528,0.001099683852299925,0.0037477697871974827,395467,Cancer cell
4,0.00037057572379613717,0.0005156047604356791,2.119218465005439e-05,0.0007232933180951263,0.0011447139557538072,0.003614980100725484,0.000670242322999193,0.0009175501169573718,0.003452220933052536,0.0016628939933214586,0.08235022443031637,0.0018155371972928512,0.0016294815413016668,0.007047234775180889,0.0018289653850297573,0.47823782605309756,0.0027955568214445697,0.0004113723612446562,0.0075476209814417244,0.03149136452388033,0.0028166943014831416,0.008919780399873069,0.08217751179535719,0.014399140635542073,0.006075050134442531,0.003817042912961023,0.00431361141692828,0.005961828713046675,0.009150477719832763,0.0023087980951136135,0.07380280627066349,0.07027236268781968,0.007249765930122311,0.013802829431191481,0.000135227293502346,0.029794787739404808,0.005417603040400601,0.00776653034516258,0.005496667217759162,0.024144848304834453,309585,Memory CD4 T cell
6,0.0013320133148371778,0.00017475391798178473,4.164366815788412e-05,0.0015648171575556888,0.0019057821518762633,0.0052686504753775044,0.0017773930578566268,0.0006551958476308314,0.0021031541142809127,0.001989017830133482,0.01441586517372991,0.0009998693433323378,0.0004259293366897833,0.003386171244993105,0.0003225867828201829,0.024283387475647806,0.0013657862082817665,0.00025624720931296803,0.028589670383295258,0.06773431967431548,0.0031752695156824977,0.023299138873866074,0.014522125945860128,0.04679942333252249,0.014846144068826929,0.017201736829731182,0.0049263566650625396,0.008901882634233147,0.0056327058155691955,0.009875043855152161,0.29478294501729785,0.15755249445279354,0.011505778700745286,0.21677220869453934,0.0002168593055067135,0.009557891070327814,0.001092649242776263,0.0011453721933298686,0.0008438318163267495,0.010387795030527013,868091,Antigen presenting cell
8,0.0012870092461673237,0.00025599594820357205,7.046969696128439e-05,0.001293419085704365,0.009594002203097548,0.011246858754619024,0.002547159175137402,0.002212954162820928,0.0032481589752433302,0.0015534501966188918,0.013737497631819548,0.0029872342542005066,0.00046070881809040824,0.004600030879305904,0.00046578621174341695,0.007437255118994389,0.002056674625211866,0.0003408395201937673,0.0030722896442096775,0.38930222174752016,0.004974163134587925,0.0037984948298352508,0.019362971475124512,0.040804807906562254,0.0016636963526055672,0.001376299546870227,0.0014348165264392342,0.0030159687130722214,0.004302348259501678,0.0012293102470845025,0.08732699216199678,0.13942996287477513,0.1878400372042621,0.005544791383638807,0.00019747738103676135,0.015266753867852745,0.00170581602470734,0.002050389445493693,0.0019989196689771337,0.023497098185797094,357507,Macrophage
9,0.0007551978267258223,0.00016855454394088226,1.9295054630985534e-05,0.0008853079955122118,0.0016103627144333037,0.006058629378943622,0.0006383689436180608,0.00119371724367155,0.0015234840406905949,0.022341836732208197,0.408802067562691,0.002656196538256404,0.0025647264721198695,0.005321504252740643,0.0015255237873554712,0.027599724735338015,0.002827793666860485,0.0005621962855209352,0.012599706338374048,0.059851679427371726,0.005725574834817716,0.03366850922647723,0.06903368133499717,0.022425784118783338,0.006179244626162143,0.003859942604019673,0.0014978921501547229,0.0023192382208762066,0.007913221104877901,0.0032873702379859772,0.06153336247720131,0.08354037348714811,0.007921890636897999,0.007749987920013625,0.0001421319321389385,0.08681268950799355,0.012819388704945932,0.011717875605339951,0.0017296562388135052,0.021449106426157348,291160,Endothelial cell
10,0.005263803437240647,0.00028443017913775835,2.5477036012037285e-05,0.008801010805788155,0.0015644428105518586,0.006321780183876107,0.0008013627362527115,0.0021912862389801484,0.0016545231197315985,0.00171692883167706,0.04841366886510068,0.0017836423647268963,0.0014714627713151981,0.003595245250352321,0.001828250652489846,0.011900581601912033,0.0014192316872604035,0.0020351488736157384,0.013359274664441778,0.06475299148981302,0.539995754482245,0.019473607911358843,0.020726662829185657,0.04173641118590393,0.006188568581053862,0.009482179829458108,0.0017702025697233696,0.00436167804644068,0.004080083354877818,0.002299569532029561,0.04991087903225906,0.04249482041290396,0.00920845709245054,0.015259909221153814,0.0003919223019389994,0.03324063881414779,0.005629583555179097,0.006306582428368436,0.0017098263326541308,0.012904476755656095,48328,Neutrophil
11,0.0016017084837326762,0.00019939839603907167,3.142862202271539e-05,0.007270766726375199,0.0003633354098030255,0.0008572581925067143,0.00137412348962739,0.0005895570787472297,0.0009594655873706105,0.004330082753479003,0.018107558065456948,0.0005651357197568172,0.00044894244790727185,0.0021304172889352437,0.0007224184552278896,0.0224008318865167,0.0034301715723845387,0.00014702266163765682,0.3600036713813716,0.01301025755421263,0.0062254930154072765,0.25257591513361327,0.01655843317239481,0.06453777993313105,0.06710248865258485,0.08105283309344612,0.008149268029527878,0.006300056182446992,0.0043648976407748155,0.015761479771542963,0.03438760292534459,0.010462948695312984,0.0018139897366241202,0.02429833012814603,0.0003499205472773751,0.016227647262107358,0.009888740305532976,0.0034886213007205356,0.001968668028263588,0.012703659850841459,159749,Memory CD8 T cell
14,0.0012167873418953055,0.00023430161732495232,2.358622660185885e-05,0.0017833095827528758,0.0014866278516449114,0.0022410436899508997,0.0019224389471999381,0.0012175747225532318,0.002626316127615034,0.0013565349865193289,0.019561868982084254,0.0011396075397610505,0.0005504105882677977,0.007224735804765941,0.001031127145499043,0.01659318017054992,0.002374099642874772,0.0003810070850920173,0.010458088999228992,0.03776521679882932,0.004233500527905209,0.24850961620294676,0.1907027253002285,0.24920930631489807,0.011200483789310562,0.013252625799905575,0.0055461118838653345,0.008377350195406794,0.0027665391338217655,0.006367544839675699,0.05850925680446631,0.03666761315421303,0.004513520063121554,0.016650074057910497,0.00029664823444163385,0.012796939174885356,0.0022853322384637845,0.0028251033236894895,0.002212357315506886,0.018724906962015668,809480,CD8 T cell
