pixel_som_cluster,pixel_meta_cluster,pixel_meta_cluster_rename
1,20,aSMA
2,10,Vim + GzmB + aSMA
3,10,Vim + GzmB + aSMA
4,35,Vim + GzmB + CD31 + aSMA
5,20,aSMA
6,35,Vim + GzmB + CD31 + aSMA
7,39,CD31
8,35,Vim + GzmB + CD31 + aSMA
9,35,Vim + GzmB + CD31 + aSMA
10,35,Vim + GzmB + CD31 + aSMA
11,6,CD366 + GzmB
12,6,CD366 + GzmB
13,9,CD366 + CD44
14,6,CD366 + GzmB
15,9,CD366 + CD44
16,40,CD44
17,9,CD366 + CD44
18,38,CD107a
19,38,CD107a
20,11,CD14 + CD16 + CD163
21,20,aSMA
22,10,Vim + GzmB + aSMA
23,10,Vim + GzmB + aSMA
24,10,Vim + GzmB + aSMA
25,35,Vim + GzmB + CD31 + aSMA
26,35,Vim + GzmB + CD31 + aSMA
27,39,CD31
28,3,HLA + CD4
29,1,Vim + GzmB
30,6,CD366 + GzmB
31,1,Vim + GzmB
32,9,CD366 + CD44
33,31,CD4 + CD366
34,9,CD366 + CD44
35,40,CD44
36,40,CD44
37,12,CD163
38,38,CD107a
39,12,CD163
40,11,CD14 + CD16 + CD163
41,10,Vim + GzmB + aSMA
42,20,aSMA
43,26,ECad + aSMA
44,10,Vim + GzmB + aSMA
45,1,Vim + GzmB
46,1,Vim + GzmB
47,22,CD45RO
48,18,CD31 + GzmB*
49,18,CD31 + GzmB*
50,6,CD366 + GzmB
51,1,Vim + GzmB
52,1,Vim + GzmB
53,1,Vim + GzmB
54,9,CD366 + CD44
55,1,Vim + GzmB
56,9,CD366 + CD44
57,20,aSMA
58,12,CD163
59,3,HLA + CD4
60,11,CD14 + CD16 + CD163
61,20,aSMA
62,20,aSMA
63,10,Vim + GzmB + aSMA
64,10,Vim + GzmB + aSMA
65,29,aSMA + Vim
66,29,aSMA + Vim
67,15,CD8 + Ecad
68,39,CD31
69,18,CD31 + GzmB*
70,27,CD45
71,16,CD20
72,1,Vim + GzmB
73,7,CD68
74,1,Vim + GzmB
75,7,CD68
76,7,CD68
77,29,aSMA + Vim
78,29,aSMA + Vim
79,9,CD366 + CD44
80,11,CD14 + CD16 + CD163
81,20,aSMA
82,5,CD8a + ECad*
83,6,CD366 + GzmB
84,6,CD366 + GzmB
85,18,CD31 + GzmB*
86,40,CD44
87,31,CD4 + CD366
88,18,CD31 + GzmB*
89,18,CD31 + GzmB*
90,24,CD68 + CD11b + CD45 + CD45RO + GzmB
91,24,CD68 + CD11b + CD45 + CD45RO + GzmB
92,1,Vim + GzmB
93,29,aSMA + Vim
94,7,CD68
95,14,FoxP3
96,7,CD68
97,29,aSMA + Vim
98,20,aSMA
99,21,CD16
100,11,CD14 + CD16 + CD163
101,14,FoxP3
102,31,CD4 + CD366
103,14,FoxP3
104,31,CD4 + CD366
105,23,CD3
106,12,CD163
107,25,CD8a
108,25,CD8a
109,25,CD8a
110,24,CD68 + CD11b + CD45 + CD45RO + GzmB
111,24,CD68 + CD11b + CD45 + CD45RO + GzmB
112,7,CD68
113,21,CD16
114,21,CD16
115,1,Vim + GzmB
116,3,HLA + CD4
117,29,aSMA + Vim
118,21,CD16
119,36,CD11b
120,11,CD14 + CD16 + CD163
121,12,CD163
122,14,FoxP3
123,36,CD11b
124,23,CD3
125,19,CD4 + CD3
126,19,CD4 + CD3
127,25,CD8a
128,25,CD8a
129,25,CD8a
130,3,HLA + CD4
131,7,CD68
132,7,CD68
133,7,CD68
134,11,CD14 + CD16 + CD163
135,11,CD14 + CD16 + CD163
136,3,HLA + CD4
137,14,FoxP3
138,3,HLA + CD4
139,3,HLA + CD4
140,9,CD366 + CD44
141,14,FoxP3
142,14,FoxP3
143,19,CD4 + CD3
144,19,CD4 + CD3
145,23,CD3
146,16,CD20
147,27,CD45
148,5,CD8a + ECad*
149,3,HLA + CD4
150,25,CD8a
151,16,CD20
152,7,CD68
153,32,HLA + CD68
154,32,HLA + CD68
155,11,CD14 + CD16 + CD163
156,32,HLA + CD68
157,3,HLA + CD4
158,3,HLA + CD4
159,19,CD4 + CD3
160,27,CD45
161,14,FoxP3
162,14,FoxP3
163,30,B7H4
164,8,ECad*
165,23,CD3
166,12,CD163
167,30,B7H4
168,3,HLA + CD4
169,3,HLA + CD4
170,7,CD68
