cell_som_cluster,cell_meta_cluster,cell_meta_cluster_rename
1,6,Antigen presenting cell
2,6,Antigen presenting cell
3,6,Antigen presenting cell
4,6,Antigen presenting cell
5,6,Antigen presenting cell
6,2,Fibroblast
7,2,Fibroblast
8,2,Fibroblast
9,2,Fibroblast
10,2,Fibroblast
11,2,Fibroblast
12,2,Fibroblast
13,6,Antigen presenting cell
14,6,Antigen presenting cell
15,6,Antigen presenting cell
16,6,Antigen presenting cell
17,6,Antigen presenting cell
18,6,Antigen presenting cell
19,8,Macrophage
20,8,Macrophage
21,6,Antigen presenting cell
22,6,Antigen presenting cell
23,6,Antigen presenting cell
24,6,Antigen presenting cell
25,6,Antigen presenting cell
26,2,Fibroblast
27,2,Fibroblast
28,2,Fibroblast
29,2,Fibroblast
30,1,B cell
31,2,Fibroblast
32,6,Antigen presenting cell
33,6,Antigen presenting cell
34,6,Antigen presenting cell
35,6,Antigen presenting cell
36,6,Antigen presenting cell
37,8,Macrophage
38,8,Macrophage
39,8,Macrophage
40,8,Macrophage
41,6,Antigen presenting cell
42,6,Antigen presenting cell
43,2,Fibroblast
44,6,Antigen presenting cell
45,1,B cell
46,1,B cell
47,2,Fibroblast
48,2,Fibroblast
49,2,Fibroblast
50,2,Fibroblast
51,17,NK/CD8
52,9,Endothelial cell
53,1,B cell
54,8,Macrophage
55,8,Macrophage
56,8,Macrophage
57,8,Macrophage
58,8,Macrophage
59,8,Macrophage
60,8,Macrophage
61,6,Antigen presenting cell
62,6,Antigen presenting cell
63,6,Antigen presenting cell
64,6,Antigen presenting cell
65,1,B cell
66,1,B cell
67,2,Fibroblast
68,2,Fibroblast
69,2,Fibroblast
70,2,Fibroblast
71,9,Endothelial cell
72,6,Antigen presenting cell
73,8,Macrophage
74,8,Macrophage
75,8,Macrophage
76,8,Macrophage
77,8,Macrophage
78,9,Endothelial cell
79,17,NK/CD8
80,2,Fibroblast
81,6,Antigen presenting cell
82,6,Antigen presenting cell
83,6,Antigen presenting cell
84,1,B cell
85,1,B cell
86,1,B cell
87,2,Fibroblast
88,2,Fibroblast
89,2,Fibroblast
90,2,Fibroblast
91,9,Endothelial cell
92,4,Memory CD4 T cell
93,6,Antigen presenting cell
94,8,Macrophage
95,8,Macrophage
96,8,Macrophage
97,8,Macrophage
98,1,B cell
99,9,Endothelial cell
100,2,Fibroblast
101,6,Antigen presenting cell
102,6,Antigen presenting cell
103,3,Cancer cell
104,3,Cancer cell
105,1,B cell
106,1,B cell
107,1,B cell
108,1,B cell
109,2,Fibroblast
110,2,Fibroblast
111,2,Fibroblast
112,6,Antigen presenting cell
113,6,Antigen presenting cell
114,8,Macrophage
115,8,Macrophage
116,8,Macrophage
117,1,B cell
118,6,Antigen presenting cell
119,14,CD8 T cell
120,14,CD8 T cell
121,3,Cancer cell
