cell_som_cluster,CD3,CD4,CD8a,CD11b,CD14,CD16,CD20,CD44,CD45,CD45RO,CD68,CD107a,CD163,CD366,Pan-keratin,FOXP3,E-Cadherin,HLA-DR-DQ-DP,Beta-Catenin,B7-H4,Granzyme-B,Alpha-SMA,Vimentin,CD31,cell_meta_cluster,cell_meta_cluster_rename
1,0.2568803962539524,0.3319240758805531,0.2866566825037537,0.3730262281093078,0.2539714348357531,0.1399246040664222,0.1557631609723683,0.2070399875095688,0.2294061381863507,0.1685833170573651,0.1748994938932102,0.2352249175846325,0.1025559509068222,0.3045582785617071,0.3326411553631591,0.2997861950138564,0.4863031049365696,0.4241955293420205,0.4114039679550635,0.4463402424454135,0.2669826399504075,0.0582051890791166,0.1217384852698789,0.1772572298800442,6,Antigen presenting cell
2,0.2558918984245686,0.3346757540668672,0.2828896680140619,0.3650643115882629,0.2600560555878329,0.1608485540382934,0.155354319952714,0.2110274650052617,0.2457202525466354,0.1830859130879671,0.1949746390438197,0.2315705604948174,0.1246742478657376,0.3035338032769498,0.3123936338756511,0.2898877672022182,0.4543675125943519,0.4069912460171518,0.3902298528145256,0.4235629720022909,0.2659373726124561,0.0659542977670715,0.1372486549001001,0.1838713274597104,6,Antigen presenting cell
3,0.255819975313326,0.3374714776649936,0.2797009597783509,0.3569121542980291,0.2662443144554506,0.1821724152831378,0.1554773447713253,0.2148229968673987,0.2624432772741091,0.1999336556287452,0.2153175878195936,0.2273571141817682,0.1474766244137836,0.3024576681280583,0.2911384783559622,0.2808939004473822,0.4199040162935572,0.3851709498559967,0.3678546081805334,0.3996369003040982,0.2653263541748985,0.0742413291121269,0.1532048178067726,0.1912426961467971,6,Antigen presenting cell
4,0.2511667688216764,0.3403931611519353,0.2737819751284348,0.3482836203760956,0.2726954986344745,0.2042395853050504,0.1536990923531222,0.220527568858328,0.2796102688119564,0.2079826959635142,0.2390616068759592,0.2257156389345296,0.17061675363368,0.3012587657362819,0.2713271515336236,0.2667157846989285,0.3917300417798107,0.3848323835573018,0.347141443691982,0.3777342527591611,0.2622753890883065,0.0791048165097554,0.168771690127864,0.1954223542544659,6,Antigen presenting cell
5,0.2596811534815941,0.3456410113505566,0.2744970432131137,0.3434137345168656,0.2779310951836707,0.2195015611095046,0.1547338015265386,0.2224233525745335,0.2953396309372023,0.2277675135263649,0.2505602260746275,0.2203827229016907,0.1876965895677998,0.3023404428647021,0.2490372615739773,0.2636690267796901,0.3514245525065917,0.3404154994003611,0.3264167161613195,0.3564931933074763,0.2660340500003995,0.091863473327648,0.1841091944979583,0.2054608048484334,6,Antigen presenting cell
6,0.2503904479759265,0.3406139763154937,0.2593945190857392,0.3382662373764265,0.3071681588171798,0.2458744474821789,0.1555178729767206,0.2116493935462758,0.3032920199173,0.2215132461651525,0.2597392324662115,0.2205237328905454,0.2272106337409795,0.335064583237839,0.1639369402228182,0.2379186954869914,0.1950049528200826,0.2233021964462145,0.2811777905159865,0.2987553017539732,0.30866121699425,0.2345203575595106,0.2622263037279116,0.2662489290668505,2,Fibroblast
7,0.2464180738428296,0.3341481873536709,0.2560417172686483,0.341548096198062,0.3203241668974712,0.2398063967418314,0.1592326607368519,0.1968751932697519,0.2896024723976732,0.2083787273365503,0.235713387970315,0.2217135378272292,0.2279185528431843,0.3581698963053515,0.1293782003603221,0.2359163497428641,0.1260888069215552,0.158271718528468,0.275680969852308,0.2807723742730159,0.3338465705019243,0.3288136994299452,0.2941471945824754,0.3028142649731489,2,Fibroblast
8,0.2519666735208395,0.3378018496244391,0.2558721809449877,0.3424677056373119,0.3171504725525557,0.2409752696012908,0.1596840448327898,0.2024372105038435,0.2927461349127128,0.2128696061374313,0.2435574342281586,0.2215310073675326,0.2292972433370109,0.3523381380904387,0.1375263520321556,0.2391568286645932,0.1386344895351123,0.1647274475393579,0.2758232657296477,0.2865532964725542,0.3293452144934529,0.2980464441236851,0.2862851761029277,0.2931492000019346,2,Fibroblast
9,0.246619925032145,0.3460943916068741,0.249844616458458,0.3364902549804653,0.3174647305066986,0.2588824058602353,0.1565788084223529,0.2121830820486615,0.3042064672098221,0.2199720644506143,0.2943365179856103,0.2302525665718148,0.2522837499921732,0.3388375619752296,0.1340730730794824,0.2290914388440968,0.1360847829670029,0.2065254222701279,0.257847248269042,0.2876598316829593,0.3193016088842454,0.2497233021368183,0.2802029889904874,0.2741750924349738,2,Fibroblast
10,0.2548434783118538,0.3609086832049467,0.2451453746097993,0.3401822515307566,0.3294980008971168,0.2729093979280035,0.1567558256488589,0.2191483311125163,0.3238788550367062,0.2317286251767122,0.2706292952243427,0.219471236720262,0.2511028473465798,0.3381849392660988,0.1354299903806545,0.2361776370089385,0.1347247188776257,0.2165983434654394,0.2544831821072108,0.2810201743445343,0.2963269026148427,0.2319185342411558,0.2587036808576269,0.2766504612575002,2,Fibroblast
