cell_som_cluster,pixel_meta_cluster_rename_B7H4,pixel_meta_cluster_rename_BetaCat,pixel_meta_cluster_rename_CD107a,pixel_meta_cluster_rename_CD11b,pixel_meta_cluster_rename_CD14 + CD16 + CD163,pixel_meta_cluster_rename_CD16,pixel_meta_cluster_rename_CD163,pixel_meta_cluster_rename_CD20,pixel_meta_cluster_rename_CD3,pixel_meta_cluster_rename_CD31,pixel_meta_cluster_rename_CD31 + GzmB*,pixel_meta_cluster_rename_CD366 + CD44,pixel_meta_cluster_rename_CD366 + GzmB,pixel_meta_cluster_rename_CD4 + CD3,pixel_meta_cluster_rename_CD4 + CD366,pixel_meta_cluster_rename_CD4 + CD45RO,pixel_meta_cluster_rename_CD44,pixel_meta_cluster_rename_CD45,pixel_meta_cluster_rename_CD45RO,pixel_meta_cluster_rename_CD68,pixel_meta_cluster_rename_CD68 + CD11b + CD45 + CD45RO + GzmB,pixel_meta_cluster_rename_CD8 + Ecad,pixel_meta_cluster_rename_CD8a,pixel_meta_cluster_rename_CD8a + ECad*,pixel_meta_cluster_rename_ECad,pixel_meta_cluster_rename_ECad + B7H4 + BetaCat + PanCK,pixel_meta_cluster_rename_ECad + aSMA,pixel_meta_cluster_rename_ECad*,pixel_meta_cluster_rename_FoxP3,pixel_meta_cluster_rename_FoxP3 + ECad + PanCK,pixel_meta_cluster_rename_HLA,pixel_meta_cluster_rename_HLA + CD4,pixel_meta_cluster_rename_HLA + CD68,pixel_meta_cluster_rename_HLA + Ecad,pixel_meta_cluster_rename_PanCK + CD20,pixel_meta_cluster_rename_Vim + GzmB,pixel_meta_cluster_rename_Vim + GzmB + CD31 + aSMA,pixel_meta_cluster_rename_Vim + GzmB + aSMA,pixel_meta_cluster_rename_aSMA,pixel_meta_cluster_rename_aSMA + Vim,count,cell_meta_cluster,cell_meta_cluster_rename
1,0.0002221586277861,1.5492600615628057e-05,1.500531349781727e-06,4.973622333599072e-05,5.780012040829801e-06,0.0001326690521019,7.420798794291353e-05,5.6060170135438095e-06,2.823989672939893e-05,0.0001248970877819,0.000644800212123,1.0455820607118224e-05,2.114950452288678e-05,8.35771171578943e-05,7.300343785295259e-06,0.0006025063410301,0.000164442073582,1.6536644542841153e-07,0.0047520405758723,0.0001756999959365,0.0001079075735196,0.0033466467943855,0.0016258047849293,0.0012783203903728,0.0035456440902794,0.0039485210057891,0.0015065252539075,0.0004691126419156,0.0009801239751588,0.0019282984307702,0.011816463092302,0.0005099944708758,5.530017835303464e-05,0.9629233367544672,7.499500518595206e-06,0.0003458644489974,3.717524538315079e-05,7.675256483529964e-05,3.215061820126154e-05,0.0001390473252077,35158,6,Antigen presenting cell
2,0.000365931969593,2.804958119440716e-05,9.392011517849572e-06,0.0002364713783913,1.6877018749459906e-05,0.0013105186632664,0.0001667017425311,2.08823927865553e-05,1.9866534015311167e-05,0.0003711797756864,0.0033989819811595,3.617494964061127e-05,5.257535186099588e-05,6.962656266841083e-05,2.061663020042809e-05,0.0028635899136319,0.0002866029193888,1.0245867716759254e-05,0.0085785869562003,0.0024016000923011,0.0004598996620758,0.0052100815696047,0.004657010901447,0.0054160476289556,0.0043184345912269,0.0051742308205413,0.003699097872371,0.0024448932696519,0.0018497507871329,0.0040076300572445,0.1510579090345252,0.0038425456561437,0.000541611765381,0.7878591566285424,2.383341141058119e-05,0.001414600146882,0.0001450780978364,0.0001465492387012,6.560568460997329e-05,0.0010347766145004,15041,6,Antigen presenting cell
3,0.0004456553073287,4.254998108284028e-05,1.354804271426907e-06,0.0003829674400758,5.931365969153928e-05,0.0019906057526628,0.0003128342278514,4.773923678665292e-05,7.788536113610642e-05,0.0006778275312345,0.0064089806742107,9.92375060508417e-05,0.0001262601488034,0.000200254726175,2.3830377856164435e-05,0.0052287748153696,0.0004334264149038,8.236660401349505e-06,0.0162376011522416,0.0077607285773188,0.0010413627220678,0.0085964981835842,0.009649184476247,0.0119148785500583,0.0070717608733714,0.0073245290002511,0.005464355999759,0.0045809322161085,0.003823515264826,0.0082116921967004,0.2799742782546436,0.0088353791617589,0.0017012970732632,0.6024745192191914,7.833728739547083e-05,0.0028414346124173,0.0002379320772283,0.0002785402236793,0.0001211283318432,0.0022741134046375,18926,6,Antigen presenting cell
4,0.0001975611002312,5.2284214226480335e-05,1.2123771133363132e-05,0.0002509394875826,4.4543770184961126e-05,0.001980560201648,0.0003058178220142,6.084389091853751e-05,3.121225618669744e-05,0.0004513894448161,0.0063525337297606,5.409908212743666e-05,8.269137700521937e-05,0.0001669158691308,1.952606596776007e-05,0.0055911236243208,0.0002472398385643,1.670246791434709e-05,0.0078382682994517,0.0078467486947511,0.0009973305114432,0.0042512473375379,0.0076387768587184,0.0099896149383142,0.0038281961607556,0.0035478262378735,0.0036521731130308,0.0038283374852133,0.0023092192952632,0.0034166691892423,0.4619927186919049,0.0095140008782793,0.0017860271724694,0.4509559381653833,6.428002219979521e-05,0.0022041155110613,0.0001527679509111,5.517003130634612e-05,8.838934412053892e-05,0.0016136162668419,14586,6,Antigen presenting cell
5,0.0007308967170276,9.674459635044312e-05,5.5187067271352455e-05,0.0010816576907094,0.0002043030712941,0.0042350710623822,0.0009004934398575,0.0002026950333326,0.0002472427632338,0.0016779688491464,0.0194628848972753,0.0003243450071372,0.0004035831473559,0.0005585291257943,0.0001050648116241,0.0200621358698004,0.0008944224289133,3.327228057556478e-05,0.0177936533250368,0.0237615850093759,0.0027689897092448,0.013803397545164,0.0240903628420757,0.0250589703663133,0.0106650970159225,0.0102872743538036,0.0112089791846775,0.0122109358554881,0.006632092404166,0.0118860211328717,0.4705210495541547,0.0195325821479627,0.0052766770223299,0.2740613928999834,0.0002259691086536,0.0086370606582622,0.0013375194650906,0.0008385744537236,0.0003582451040803,0.0074846860147663,14114,6,Antigen presenting cell
6,0.0002297656467713,5.5243504924268025e-05,1.6107347957373516e-05,0.0005543208385718,0.000869793884729,0.0041933099959518,0.0014004483300314,0.0003919021720925,0.0005613678078493,0.0017719238009571,0.0182264444071535,0.0005528088045488,0.0004383871634899,0.0013565730895426,0.0002431033610476,0.0097464035719582,0.0006392369397694,1.6996371302292753e-05,0.0015393249518321,0.0454542962244407,0.001735974922849,0.0032298472421505,0.0137435850760882,0.0419747093109358,0.0005478590531741,0.0011768876759212,0.0135711519313831,0.004503559028745,0.0025296575777924,0.0016667924081936,0.2465995957040886,0.0270554115807481,0.0039914902726708,0.0133481406181447,4.9934855805106726e-05,0.0257238682804223,0.0089921070504234,0.0100333489746769,0.0065208684291062,0.4881101430976441,5894,2,Fibroblast
7,4.60272803525685e-05,2.5120285382029423e-05,8.335417187630241e-07,0.0001978351612278,0.0014968847845621,0.0013276779602081,0.0011775736482451,0.0003208634969808,0.0004610309149909,0.0018266111505214,0.0107311005869482,0.0007448743539445,0.0001034481421191,0.0051318284627756,0.0004417211925929,0.0021552956997221,0.00021146466788,0.0001061853084151,0.0018768631387158,0.0133187535278304,0.0002639220871991,0.0011327387502277,0.002193859420339,0.0127080042262983,4.620289497656399e-05,7.336521519538298e-05,0.0016850801519884,0.0004552509931855,0.0015098329941186,0.0002065035531044,0.003995966007596,0.0042728399377283,0.0008617255778077,0.0001913723426208,3.702442058896172e-05,0.0105747501267842,0.0079193998113493,0.0076574870457985,0.0084242905099168,0.8965874133395021,13950,2,Fibroblast
8,0.0002707589680992,0.0001148156678112,0.0,0.0006010528701983,0.0046681007350502,0.0055863015235623,0.0030964709443753,0.0010711575841743,0.0016368080686354,0.0041262916754551,0.0229886333208108,0.0018084470353952,0.0004660624953612,0.012081919644287,0.0013899266422288,0.007126913405033,0.0005721675712722,0.0002178807623915,0.0056124087222046,0.0436418135441669,0.0010677715286153,0.0044383623910568,0.0074717177466075,0.0331287982797626,0.0003184735418223,0.0004502172251861,0.0059834964380627,0.0019898702140275,0.0036855639602907,0.000672746262416,0.0126159593252043,0.0186625415941683,0.0054528797943845,0.0011907092295006,9.399902339624447e-05,0.0314153551121091,0.0137798844917335,0.0148125005180185,0.0176929570293227,0.7145921840799484,19240,2,Fibroblast
9,0.0002618627950046,0.0001764608146138,0.0,0.0006621580398138,0.0048312386327507,0.005322966706983,0.0020893722519657,0.001339034934586,0.0012875017309348,0.0024442298113108,0.0143426042066262,0.0017580066810265,0.0001761670106588,0.0074549100055818,0.0004941695123525,0.0084550490781312,0.0006347156307008,0.0001960295562741,0.0047194366866058,0.2472696520438703,0.0021988994184824,0.0020285011921192,0.0099658115812104,0.027569662004385,0.0002425930917735,0.0003602936251926,0.004128238182254,0.001538367134296,0.0026918222658161,0.0005240496746466,0.0179975255219561,0.0301023983256361,0.0205305665666657,0.0013201931538501,7.821375131241261e-05,0.0227185428822925,0.0140117432794631,0.0154815006476656,0.0138393114060369,0.5137159459694438,14827,2,Fibroblast
10,0.0003964877652603,0.0002152937957293,6.985171877139209e-06,0.0015129457021974,0.0123603674188383,0.0091339106334083,0.002961871565039,0.0011371703435739,0.0020602891858929,0.0057394971004673,0.0203103372547981,0.0025013344335353,0.0005257188095924,0.0095355152768942,0.0014445294605706,0.0202330398281097,0.0014981017164788,0.000317895326396,0.0042411345730388,0.0737299260657932,0.0018384309550829,0.0022752495130112,0.0128990867883947,0.020707077951533,0.0004776051764503,0.000474370333293,0.0029887419602097,0.0027219066342632,0.007519299169825,0.0012854727200174,0.0214253767608384,0.2101260662988955,0.0261555778634324,0.0016477741083046,8.296649493157782e-05,0.0233532064080104,0.0129957356090949,0.0245586407159624,0.0152105758053078,0.448580084784976,9673,2,Fibroblast
