pixel_meta_cluster,CD3,CD4,CD8a,CD11b,CD14,CD16,CD20,CD44,CD45,CD45RO,CD68,CD107a,CD163,CD366,Pan-keratin,FOXP3,E-Cadherin,HLA-DR-DQ-DP,Beta-Catenin,B7-H4,Granzyme-B,Alpha-SMA,Vimentin,CD31,count,pixel_meta_cluster_rename
1,0.23290654204308933,0.30247836072922074,0.1922496716868995,0.3821232894746698,0.29502859105175766,0.1976942761148333,0.12289882867326936,0.23367937755008364,0.2503254351435996,0.181141946889687,0.2566098383444624,0.22553138580407633,0.15468208522532548,0.38271820223054165,0.19211594910654708,0.25207139401767925,0.16162986545598804,0.1112162959745079,0.2978645243705868,0.34777189242866213,0.49067970687293044,0.1668092996673492,0.45259585105798705,0.2503359905325471,3226188,Vim + GzmB
2,0.23683955052783232,0.34472116597707547,0.25818210193270913,0.32347865524672603,0.2886155537394073,0.2641147894654251,0.1504823082286733,0.23459618801670512,0.3232290637655879,0.23519283514414266,0.30305692515544624,0.21950844476881962,0.23357985102845502,0.29708759520609834,0.22041026744996522,0.23106003783046766,0.31883501987308877,0.3764303684727431,0.2916751299397669,0.31683522037275513,0.25465431444649306,0.09302996337567071,0.21178045058951236,0.2076440177699662,5927089,HLA
3,0.257407636246961,0.42861093168395237,0.22051532912263422,0.338621731114125,0.3769031104288408,0.3680254777062838,0.1489159571546295,0.26180921804462887,0.4202199484045239,0.2884370016396402,0.30798977743609063,0.20147788137009268,0.3008826791618046,0.30628122585946016,0.11967491371818723,0.22132691604819155,0.11094537057844325,0.35062314561613184,0.19267504914762504,0.2573004488614109,0.198876811293165,0.08705251285166735,0.17704487764814839,0.2551735391326234,4550838,HLA + CD4
4,0.4681507954079476,0.5624204393444059,0.22396972052106334,0.26978442679323067,0.2187671801665938,0.16439987997253136,0.12730317004616262,0.26119162029619,0.4829427064650222,0.46219092535935086,0.17274999943340724,0.1711315926735118,0.13189036905967852,0.3213162115151609,0.145338396187376,0.29188790688535105,0.1865336157693808,0.19686336111636232,0.2472433213916693,0.25587841386177895,0.24531164198807723,0.1396677210002445,0.21899709706865125,0.20114012678730842,2518410,CD4 + CD45RO
5,0.2990130557296302,0.33980338804473786,0.32639441256182605,0.34205474241128736,0.2931795423374809,0.2466426912880349,0.1735026698706291,0.19950507280877047,0.29918064692192814,0.24286716833404395,0.23816982993527833,0.18936214405683374,0.2514400531503494,0.29053767581831147,0.24697242106312878,0.26446978974998236,0.35501810589225785,0.10895355721002616,0.31919485372092554,0.3388382892151138,0.26528082613086285,0.1688773872212583,0.15794809015843428,0.20880607436451007,6798161,CD8a + ECad*
6,0.22165712700015194,0.2828803636752288,0.11328641712768403,0.5088057471707205,0.30055508037183964,0.1721954454506338,0.055796130901195215,0.18335300192030923,0.15193999002380237,0.08228972392842632,0.19827985553622068,0.26962753029689734,0.12568865935657292,0.6753867884780165,0.16322938487751779,0.3180365053069135,0.1605388698058319,0.052984132945117696,0.5243369430638609,0.46378554007911765,0.49271797580487137,0.09845945242458203,0.3745050247058772,0.17909503043994895,1062322,CD366 + GzmB
7,0.23101088856513707,0.3670833867468224,0.23543220562171596,0.31962564051865106,0.31348275373760864,0.30263141761807083,0.14806280590739676,0.23869216403883742,0.3268911609186459,0.23276609501921944,0.4504169503451093,0.2590525288306971,0.3195584103180103,0.3023114373544931,0.12024446126794762,0.1986068602560103,0.12261957470846317,0.3115744209582116,0.20530939607876655,0.29621115650512553,0.3049805852629538,0.11831801306148287,0.2753549131447133,0.2198327584919823,4819437,CD68
8,0.3670322355639902,0.428742076753109,0.21630527097814833,0.3828481757922527,0.37079697282733254,0.34008430927279,0.1427815049527107,0.17868937181831143,0.21059030166227916,0.2638967502068421,0.17491934782717714,0.23323007026881548,0.2517066358497836,0.2415112768961388,0.3064016481653984,0.3086678037654024,0.4432669404369222,0.09429004686445384,0.3489409823582563,0.3761286624654822,0.15728804541549216,0.11728301523215376,0.0942519589404642,0.12066081808568095,2972735,ECad*
9,0.21426632527765976,0.2507028832510598,0.1634366704968138,0.33241939456772607,0.3487859720170918,0.24917423729917246,0.22560154411055985,0.4784404969433312,0.25809503519378557,0.11863581060683999,0.2215231726939466,0.3470322811292142,0.2404425553634881,0.6997554106667833,0.11075187140504657,0.18298063667271774,0.07903871957756961,0.07895087511242166,0.25389291094623084,0.21671761071494824,0.28317206409221496,0.09804523288940224,0.3555389853376834,0.16784938280491243,775644,CD366 + CD44
10,0.19132034313122281,0.2544076034128046,0.1732568491243392,0.40922344422201834,0.2415356050531435,0.12217822201349747,0.13314160629178662,0.1907257155971788,0.19361260800409544,0.13717033076280266,0.18277327739232302,0.24618783568734587,0.08893720594010252,0.47455150533534385,0.10992612528634564,0.2693247512198832,0.0859529476446753,0.07411627184644604,0.32116698866547083,0.30840929871896344,0.5102617629360867,0.531101389675914,0.47788495090740685,0.3101099670210969,2013937,Vim + GzmB + aSMA
