pixel_som_cluster,CD3,CD4,CD8a,CD11b,CD14,CD16,CD20,CD44,CD45,CD45RO,CD68,CD107a,CD163,CD366,Pan-keratin,FOXP3,E-Cadherin,HLA-DR-DQ-DP,Beta-Catenin,B7-H4,Granzyme-B,Alpha-SMA,Vimentin,CD31,count,pixel_meta_cluster,pixel_meta_cluster_rename
1,0.1935051275251829,0.1882790564564345,0.1364701681690016,0.2604329290062395,0.1827304876474303,0.1396335577678111,0.1412054420808534,0.2364379040920442,0.152329436951831,0.1256044419325722,0.1424846271706031,0.2563588968037938,0.1479212625635997,0.3225919377434851,0.1202364965291668,0.190174026614513,0.0877105722183795,0.0872632769137488,0.3372856011731214,0.194055030955913,0.2767761675910088,1.4212957402301225,0.3432100008947927,0.2386116158426464,88400,20,aSMA
2,0.1606267258476837,0.2053976537115926,0.1417074873514231,0.3774146116744608,0.2026732796132891,0.1008025009307483,0.1308333932705729,0.1051799617909849,0.1489397107664062,0.1251117154740562,0.1473075898010927,0.2261924754072493,0.0575805784267365,0.7367018129642011,0.0813859064210919,0.3008622740490113,0.0537405229686351,0.0533683823968043,0.2796207776626443,0.2433848918380991,0.5338215044597117,0.7183953655010357,0.6218971207352965,0.2424859111024045,180664,10,Vim + GzmB + aSMA
3,0.1921385575454909,0.2258386941346634,0.1608866086500627,0.3098355937952635,0.2208901641377985,0.1201909270803598,0.1311737675219395,0.1602565778095126,0.173323029135736,0.1389435747838412,0.2050667420848254,0.2639509716808823,0.090707580947058,0.3417533409665156,0.0985697529313445,0.22102348159476,0.0801626689935574,0.0745490329770941,0.237393089463704,0.2412128174672864,0.77325387973275,0.6675800447680686,0.6717027946372303,0.243718097195163,238002,10,Vim + GzmB + aSMA
4,0.1706373481412705,0.1957699647734169,0.1628971173803544,0.2676367546573016,0.1910213447044039,0.102869459998614,0.1120560945872132,0.1586466528093136,0.1536386270829423,0.1429110986510751,0.2088085474405846,0.2343530448035309,0.0972738637626007,0.3029336122998963,0.1127368988684179,0.1720111710339216,0.0801971964680464,0.0778569008612121,0.3046461572889402,0.2395053369761373,0.6256346088718887,0.7049273861711942,0.5639579375382372,0.6158601971777972,112970,35,Vim + GzmB + CD31 + aSMA
5,0.200702804222345,0.2309418818357224,0.1967434385481253,0.2663001789634404,0.2210929622838922,0.1542031292324093,0.5761692293955474,0.1720059235805251,0.2120015107378826,0.1480495103338961,0.1710856949317354,0.2253038052429994,0.1461946311866747,0.3439265707046838,0.1250786828444023,0.2250404436008724,0.081820897768696,0.1133944402339607,0.230986139027208,0.2062245612111402,0.2900299788768429,0.5903525223867002,0.3689601605134561,0.2375791967444364,96171,20,aSMA
6,0.1838933337898103,0.2307392415473634,0.183965786515499,0.2403119559251544,0.2513604201166585,0.1683360790795982,0.1515531324876037,0.2376081433048669,0.2014280454439297,0.1637248284413966,0.1750058485373918,0.268293787684519,0.1613440824126915,0.3144505113163209,0.1463488925845485,0.2184855583913713,0.1013464694731465,0.0901294957562278,0.2753781904674278,0.2164173508837365,0.2814587767174765,0.6990955432563821,0.3480156647754971,0.6169285509574401,174088,35,Vim + GzmB + CD31 + aSMA
7,0.1879352786529501,0.2073399120472857,0.198599310084651,0.2299408064974928,0.2221758979747387,0.1635899629598076,0.2191578738598007,0.1603227747494835,0.2045060949757857,0.147620449384032,0.1782830516812324,0.1761160737077136,0.1998491699629477,0.2620813378410326,0.1496912466583126,0.1730821049567029,0.0944559572466639,0.0899266368470445,0.251298149396556,0.2065571287331104,0.2517809764232807,0.192105925201209,0.2893279950494977,1.3852334519996778,53586,39,CD31
8,0.1651414362340278,0.1897634339412155,0.1667692083475873,0.2456424915547984,0.2278652575846649,0.1393586719515165,0.1047244251452079,0.1445925843028726,0.1538560550289884,0.1389626415788326,0.1962812593817695,0.2670003800911073,0.1378676358970295,0.3321322730752193,0.1066133150167396,0.1655617198051305,0.0898990507044077,0.1184785709983018,0.3229608430592838,0.2331674314102455,0.4619539051436994,0.2434802728211426,0.756573895122027,0.8700566755042424,67973,35,Vim + GzmB + CD31 + aSMA
9,0.1934977310997733,0.2289257088518251,0.2139354767497631,0.3813905521347852,0.2211635307157277,0.0891705887161596,0.0926517675691765,0.0889182015103492,0.1496131868677037,0.1302644644321642,0.269551859678625,0.2512321001713686,0.0709788855663559,0.368227454468269,0.0898090012314894,0.2204369608672756,0.0831945291863376,0.0888663041346246,0.3590644442584366,0.4955968517559664,0.6912460436465862,0.1454680939247052,0.597709462170018,0.6018169433790879,131401,35,Vim + GzmB + CD31 + aSMA
10,0.1802551763033983,0.2573204325879499,0.1834239635047655,0.4719601548325189,0.3022208461117998,0.1499592180445106,0.0592424616468867,0.1459957923317964,0.1624455526850375,0.1137308862068404,0.2216316509927887,0.2198655911549769,0.1130167558792535,0.42603387675219,0.1195396032937671,0.2875931644066983,0.1301910501384685,0.1002579600207491,0.4899801681117998,0.468467661880214,0.4746481730698234,0.1254486893061738,0.382419798212516,0.5547525764153023,226604,35,Vim + GzmB + CD31 + aSMA
