,Cancer,CD163p_Mac [M2],CD163n_Mac [M1],Naive CD4 T cells,Memory T cells,Regulatory T cells,Naive CD8 T cells,Memory CD8 T cells,Naive B cells,Memory B cells,NK and CD8 Tcell,CI_Monocyte,Int_Monocyte,nonCI_Monocyte,Endothelial,Fibroblasts,B7H4+ cancer cells,Proliferative cells?,p53+ cells?,Neutrophil&monocyte,Other cells
0,Pan-keratin,CD163,CD163-,CD38,CD38,CD38,CD38,CD38,CD38,CD38,CD38,CD14,CD14,CD14-,CD14-,Pan-keratin-,Pan-keratin,Ki-67,p53,CD14-,Pan-keratin-
1,E-Cadherin,Pan-keratin-,Pan-keratin-,CD11b-,CD11b-,CD11b-,CD11b-,CD11b-,CD11b-,CD11b-,Pan-keratin-,CD16-,CD16,CD16,CD16-,CD45-,E-Cadherin,,Ki-67,CD16,CD45-
2,Beta-Catenin,CD68,CD68,CD45,CD45,CD45,CD45,CD45,CD45,CD45,CD107a,Pan-keratin-,Pan-keratin-,Pan-keratin-,Pan-keratin-,Alpha-SMA,Beta-Catenin,,,CD11b,Alpha-SMA-
3,,,,CD44-,CD44,CD44,CD44-,CD44,FOXP3-,FOXP3-,Granzyme-B,CD68-,CD68-,CD68-,CD68-,Vimentin,B7-H4,,,CD45,CD31-
4,,,,FOXP3-,FOXP3-,FOXP3,FOXP3-,FOXP3-,CD20,CD20,,CD20-,CD20-,CD20-,CD20-,CD31-,,,,,DNA1
5,,,,CD4,CD4,CD4,CD4-,CD4-,CD3-,CD3-,,CD3-,CD3-,CD3-,CD3-,,,,,,
6,,,,CD20-,CD20-,CD20-,CD20-,CD20-,CD27-,CD27,,,,,CD31,,,,,,
7,,,,CD8a-,CD8a-,CD8a-,CD8a,CD8a,,,,,,,,,,,,,
8,,,,CD3,CD3,CD3,CD3,CD3,,,,,,,,,,,,,
9,,,,CD27,CD27,CD27,CD27-,CD27,,,,,,,,,,,,,
10,,,,CD45RO-,CD45RO,CD45RO,CD45RO-,CD45RO,,,,,,,,,,,,,
