definition,feature,NR_med,R_med,ratio,cliffs_delta
CD8_primary,ker_dim1_total_persistence,1060.3603671501237,955.4355842813885,0.9010479963988695,-0.03397573162027123
CD8_primary,im_dim1_total_persistence,1842.8644494338953,1403.4224425575721,0.7615440424762038,-0.168386217636753
CD8_primary,cok_dim1_total_persistence,862.4618246470258,834.6927707966543,0.9678025704363943,-0.010992148465381879
CD8_primary,im_dim1_n_bars_gt5um,55.0,49.0,0.8909090909090909,-0.12095905522029715
CD8_primary,ker_dim1_n_bars_gt5um,48.0,46.0,0.9583333333333334,-0.02249691778599705
CD8_strict,ker_dim1_total_persistence,1001.638437912982,883.9624371496116,0.8825164886757335,-0.058542599441957055
CD8_strict,im_dim1_total_persistence,1810.5332907600919,1399.4960393275824,0.772974485732903,-0.16724417623775223
CD8_strict,cok_dim1_total_persistence,807.6415163513439,758.2894121030229,0.9388935520906883,-0.032314580494452017
CD8_strict,im_dim1_n_bars_gt5um,56.0,51.0,0.9107142857142857,-0.10821491142690287
CD8_strict,ker_dim1_n_bars_gt5um,46.0,42.0,0.9130434782608695,-0.04382583868665235
CD8_extended,ker_dim1_total_persistence,1202.717441353081,1068.076636828519,0.8880528377695359,-0.04316397378495884
CD8_extended,im_dim1_total_persistence,2004.7157617208732,1560.339633727624,0.7783345966154368,-0.17031990136915187
CD8_extended,cok_dim1_total_persistence,968.3341100307618,916.7398726680118,0.9467185583691655,-0.019531503471546308
CD8_extended,im_dim1_n_bars_gt5um,66.0,57.0,0.8636363636363636,-0.12833690221270522
CD8_extended,ker_dim1_n_bars_gt5um,57.5,51.0,0.8869565217391304,-0.02919343326195578
CD8_NK_only,ker_dim1_total_persistence,386.73627472837234,335.394465139417,0.867243356923227,-0.07277259621329968
CD8_NK_only,im_dim1_total_persistence,1188.8606820938676,1134.0401671266509,0.9538881924577868,-0.026053904180470266
CD8_NK_only,cok_dim1_total_persistence,313.5483870415412,312.5287973313443,0.996748222117112,-0.03529610851128917
CD8_NK_only,im_dim1_n_bars_gt5um,49.0,42.0,0.8571428571428571,-0.06848994096704697
CD8_NK_only,ker_dim1_n_bars_gt5um,20.0,16.0,0.8,-0.0625606112872048
CD4,ker_dim1_total_persistence,434.49908538681404,462.84804776968804,1.065245160085058,0.013648269840540461
CD4,im_dim1_total_persistence,1249.471310592766,1263.836999214031,1.0114974137456985,0.011495007451075567
CD4,cok_dim1_total_persistence,391.19916438107094,427.9602019014866,1.0939701330358833,0.03340839115849459
CD4,im_dim1_n_bars_gt5um,48.0,49.0,1.0208333333333333,-0.002271429227911015
CD4,ker_dim1_n_bars_gt5um,20.0,22.0,1.1,0.01622168098892507
Bcell,ker_dim1_total_persistence,459.33080021643815,396.470788148064,0.8631487110405958,-0.12034261241970023
Bcell,im_dim1_total_persistence,1410.5441447396415,1266.0934841228295,0.8975922439893047,-0.05167737330478228
Bcell,cok_dim1_total_persistence,383.37584791370983,361.2245056203527,0.942220297877651,-0.0690545714100318
Bcell,im_dim1_n_bars_gt5um,59.5,50.0,0.8403361344537815,-0.1170657322691584
Bcell,ker_dim1_n_bars_gt5um,21.0,18.0,0.8571428571428571,-0.11118681461293878
Macrophage,ker_dim1_total_persistence,649.9528484291588,541.2869852849765,0.8328096208720188,-0.09079405664192441
Macrophage,im_dim1_total_persistence,1221.1995254230874,1299.2242651653378,1.063891885083413,-0.0054267712015863
Macrophage,cok_dim1_total_persistence,549.4606391456057,516.9799697743761,0.9408862672643193,-0.042670597597088356
Macrophage,im_dim1_n_bars_gt5um,50.0,52.0,1.04,-0.038241778311178365
Macrophage,ker_dim1_n_bars_gt5um,31.0,26.0,0.8387096774193549,-0.09342917150423313
Fibroblast,ker_dim1_total_persistence,626.6476071345473,555.9736506990902,0.8872189798048925,-0.0659773702692158
Fibroblast,im_dim1_total_persistence,1510.4652674690983,1510.9906800463955,1.0003478481687815,0.013955000650279548
Fibroblast,cok_dim1_total_persistence,614.9733277854581,583.4660046154376,0.9487663582362513,-0.0429184549356223
Fibroblast,im_dim1_n_bars_gt5um,61.5,57.0,0.926829268292683,-0.012582910651580126
Fibroblast,ker_dim1_n_bars_gt5um,29.0,26.0,0.896551724137931,-0.08211080764728829
