roi_id,n_all,hull_area,bbox_area,med_nn,density
Leap001_10,2902,367114.9968944225,376776.0,8.540007061961838,0.007904880009123075
Leap001_8,7476,1082900.7088805535,1140501.6227180527,8.894211817456451,0.006903680031503812
Leap001_9,3984,555126.6993019894,566008.9038825758,9.177761661839007,0.007176740021709351
Leap002_1,6934,981651.1679878719,984293.3000000002,9.094799534019518,0.007063608974471946
Leap002_3,4156,978169.2083848736,982267.27837891,10.358463541906923,0.004248753655681182
Leap002_4,5207,981142.0371668886,982673.286022278,9.711809762666102,0.005307080731180931
Leap002_5,5300,968968.2623232586,982018.7895580299,9.335162137837244,0.0054697353939048435
Leap002_6,6033,982443.5151675201,983633.3235492578,9.808092760159766,0.006140811056166716
Leap002_7,6081,1084045.5389433596,1087466.526923077,9.634636596217423,0.005609542940352183
Leap003_14,4941,852945.8703515802,1007130.0477926424,8.947556081447708,0.005792864672600318
Leap003_15,2226,380383.61936692236,418697.20747386484,8.640674253014593,0.0058519870117035066
Leap003_16,1036,325343.1793205109,343433.3960179885,10.867782554788821,0.003184329857978635
Leap004_1,1583,385151.92125286383,386762.6666666666,9.325317651517052,0.004110066476757136
Leap004_10,1730,309287.86563474406,310777.8857962213,9.301343068330649,0.005593494579716416
Leap004_11,3536,618538.258265795,620091.1016414142,9.77247326191667,0.0057167037814507
Leap004_12,3467,788150.7853355916,790743.951843318,10.434208337514287,0.004398904453953903
Leap004_13,4218,815985.5044685409,817266.4404761906,9.945921119223538,0.005169209473576646
Leap004_2,2451,564874.4158835413,568573.045045045,10.6934357861265,0.004339017542804268
Leap004_3,3119,476880.7191787821,481843.2956091529,9.216467570739233,0.006540419594591934
Leap004_4,2023,752999.7070008516,755918.3093877552,11.550957544184662,0.002686588030767603
Leap004_5,2612,576895.5849343855,618225.1548085902,10.232707947068604,0.004527682423322899
Leap004_6,2459,618164.1137744449,620547.2080745342,10.056100856473783,0.003977908042874901
Leap004_7,2618,617273.8561217306,619721.7662337662,11.295664366666351,0.004241229357174837
Leap004_8,3399,742621.8618865117,744127.6037561576,11.264510657925811,0.004577026578998612
Leap004_9,3197,619002.9945362471,620615.867368421,10.292033196198645,0.005164756920756371
